,Expression (by Bio. Rep.): Sample- A,Expression (by Bio. Rep.): Sample- B,Expression (by Bio. Rep.): Sample- C,overall
0,Non Significant,Non Significant,Non Significant,True
1,Non Significant,Non Significant,Non Significant,True
2,Non Significant,Non Significant,Non Significant,True
3,Non Significant,Non Significant,Non Significant,True
4,Non Significant,Non Significant,Non Significant,True
5,Non Significant,Non Significant,Non Significant,True
6,Non Significant,Non Significant,Non Significant,True
7,Non Significant,Non Significant,Non Significant,True
8,Non Significant,Non Significant,Non Significant,True
9,Non Significant,Non Significant,Non Significant,True
10,Non Significant,Non Significant,Non Significant,True
11,Non Significant,Non Significant,Non Significant,True
12,Non Significant,Non Significant,Non Significant,True
13,Non Significant,Non Significant,Non Significant,True
14,Non Significant,Non Significant,Non Significant,True
15,Non Significant,Non Significant,Non Significant,True
16,Non Significant,Non Significant,Non Significant,True
17,Non Significant,Upregulated,Non Significant,False
18,Non Significant,Non Significant,Non Significant,True
19,Non Significant,Non Significant,Non Significant,True
20,Non Significant,Non Significant,Non Significant,True
21,Non Significant,Non Significant,Non Significant,True
22,Non Significant,Non Significant,Non Significant,True
23,Non Significant,Non Significant,Non Significant,True
24,Non Significant,Non Significant,Non Significant,True
25,Non Significant,Non Significant,Non Significant,True
26,Non Significant,Non Significant,Non Significant,True
27,Non Significant,Non Significant,Non Significant,True
28,Non Significant,Non Significant,Non Significant,True
29,Non Significant,Non Significant,Non Significant,True
30,Non Significant,Non Significant,Non Significant,True
31,Non Significant,Non Significant,Non Significant,True
32,Downregulated,Non Significant,Non Significant,False
33,Non Significant,Non Significant,Non Significant,True
34,Non Significant,Non Significant,Non Significant,True
35,Non Significant,Non Significant,Non Significant,True
36,Non Significant,Non Significant,Non Significant,True
37,Non Significant,Non Significant,Non Significant,True
38,Non Significant,Non Significant,Non Significant,True
39,Non Significant,Non Significant,Non Significant,True
40,Non Significant,Non Significant,Non Significant,True
41,Non Significant,Non Significant,Non Significant,True
42,Non Significant,Non Significant,Non Significant,True
43,Non Significant,Non Significant,Non Significant,True
44,Non Significant,Non Significant,Non Significant,True
45,Non Significant,Non Significant,Upregulated,False
46,Non Significant,Non Significant,Non Significant,True
47,Non Significant,Non Significant,Non Significant,True
48,Non Significant,Upregulated,Upregulated,False
49,Non Significant,Non Significant,Non Significant,True
50,Non Significant,Non Significant,Non Significant,True
51,Non Significant,Non Significant,Non Significant,True
52,Non Significant,Non Significant,Non Significant,True
53,Non Significant,Non Significant,Non Significant,True
54,Non Significant,Non Significant,Non Significant,True
55,Non Significant,Non Significant,Non Significant,True
56,Non Significant,Upregulated,Non Significant,False
57,Non Significant,Non Significant,Non Significant,True
58,Non Significant,Non Significant,Non Significant,True
59,Non Significant,Non Significant,Upregulated,False
60,Non Significant,Non Significant,Non Significant,True
61,Non Significant,Non Significant,Non Significant,True
62,Non Significant,Non Significant,Non Significant,True
63,Non Significant,Non Significant,Non Significant,True
64,Non Significant,Non Significant,Non Significant,True
65,Non Significant,Non Significant,Non Significant,True
66,Non Significant,Non Significant,Non Significant,True
67,Non Significant,Non Significant,Non Significant,True
68,Non Significant,Non Significant,Non Significant,True
69,Non Significant,Non Significant,Non Significant,True
70,Non Significant,Non Significant,Non Significant,True
71,Non Significant,Non Significant,Non Significant,True
72,Non Significant,Non Significant,Non Significant,True
73,Non Significant,Non Significant,Non Significant,True
74,Non Significant,Non Significant,Non Significant,True
75,Non Significant,Non Significant,Non Significant,True
76,Non Significant,Non Significant,Non Significant,True
77,Non Significant,Non Significant,Non Significant,True
78,Non Significant,Non Significant,Non Significant,True
79,Non Significant,Non Significant,Non Significant,True
80,Non Significant,Non Significant,Non Significant,True
81,Non Significant,Non Significant,Non Significant,True
82,Non Significant,Non Significant,Non Significant,True
83,Non Significant,Non Significant,Non Significant,True
84,Non Significant,Non Significant,Non Significant,True
85,Non Significant,Non Significant,Upregulated,False
86,Non Significant,Non Significant,Non Significant,True
87,Non Significant,Non Significant,Non Significant,True
88,Non Significant,Non Significant,Non Significant,True
89,Non Significant,Non Significant,Non Significant,True
90,Non Significant,Non Significant,Non Significant,True
91,Non Significant,Non Significant,Non Significant,True
92,Non Significant,Non Significant,Non Significant,True
93,Non Significant,Non Significant,Non Significant,True
