,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 129C  Sample  2  A,normalized Abundance: F2: 130C  Sample  2  AB,normalized Abundance: F1: 130C  Sample  1  AB,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundance: F3: 130C  Sample  3  AB,normalized Abundances Count: F1: 128C  Sample  1  C,average_normalized : F,P VALUE of : F,average_normalized ,P VALUE of ,average_normalized_of_CONTROL
0,65618.9,63926.5,30690.1,76247.8,74100.9,36046.6,53548.5,52236.5,25423.0,74136.2,72283.0,34512.5,232.0,225.0,211.0,232.0,225.0,211.0,232.0,225.0,211.0,232.0,225.0,211.0,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,High,High,0.0,250.63285514345694,254.13677694269225,288.0339985903476,178.99239752063286,173.51949916448964,232.0,233.51319805549025,0.7878696070591389,202.7597495822448,0.33816022205470375,252.38481604307458
1,236.5,177.2,65.1,238.7,200.9,65.8,179.3,133.8,45.3,250.1,209.0,74.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High,High,High,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,0.67950781432237,0.650952892229231,0.9644433727788702,0.32673538577445976,0.3091859069406199,1.0,0.6455893792766649,0.9608433638177416,0.65459295347031,0.980404210645942,0.6652303532758005
2,0.0,0.0,9.6,0.0,0.0,6.7,0.0,0.0,3.3,0.0,0.0,8.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,High,0.0,0.0,0.0,0.0,0.033269408581897884,0.022523476664548472,0.0,0.016634704290948942,0.49999999999999956,0.011261738332274236,0.49999999999999956,0.0
3,25462.8,28977.8,22576.0,29857.7,34288.0,26964.2,20973.1,23957.8,18787.7,29633.1,33810.3,26374.6,159.0,153.0,153.0,159.0,154.0,153.0,158.0,153.0,153.0,159.0,154.0,153.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,115.97294145089806,116.55754261172996,112.81297993100122,133.89298311701654,128.23161288804164,159.0,123.35298152400888,0.6230925423795814,143.61580644402082,0.3261026075574521,116.26524203131402
4,23499.3,22316.2,10958.0,27675.6,26171.9,13134.0,17632.3,16687.0,8329.7,26827.4,25332.4,12317.6,129.0,133.0,122.0,129.0,133.0,122.0,129.0,133.0,122.0,129.0,133.0,122.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,88.52170515512013,81.18423701516575,94.84302778499091,65.21797198726071,56.85266774929983,129.0,80.03049988612581,0.800595612952341,92.92633387464991,0.8599583664849266,84.85297108514294
5,140669.3,145076.2,107014.4,169296.2,174122.5,129716.2,119451.2,122211.1,91883.4,166644.1,170052.9,126319.6,81.0,80.0,82.0,81.0,80.0,82.0,81.0,80.0,82.0,81.0,80.0,82.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,588.9377770002333,594.5715172460073,642.5204585079942,644.1166055956988,627.1313987149615,81.0,643.3185320518465,0.023748517798756686,354.06569935748075,0.5440161551032439,591.7546471231203
6,20611.0,24224.3,15721.1,23716.4,27647.7,18052.3,15970.1,18928.8,12415.9,22152.6,26002.1,16876.0,82.0,81.0,84.0,82.0,81.0,84.0,82.0,81.0,84.0,82.0,81.0,84.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,93.5133310006998,92.09086028720976,85.90215899395334,89.64020067805897,84.742192096778,82.0,87.77117983600616,0.1940852269054988,83.371096048389,0.048815928631720386,92.80209564395477
7,35105.6,33169.0,23193.1,43396.2,40761.1,28239.5,32298.2,30518.5,20987.5,46821.9,44269.1,30365.8,59.0,55.0,62.0,59.0,55.0,62.0,59.0,55.0,62.0,59.0,55.0,62.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,137.86702822486586,148.4761273654543,173.72997737136922,140.22559158932913,143.24589893854883,59.0,156.97778448034916,0.5575616685156255,101.12294946927442,0.4989928695709357,143.1715777951601
8,9013.9,9569.0,7216.9,10070.4,10501.9,8288.4,6643.6,6985.8,5366.1,8837.6,9433.5,7208.3,68.0,69.0,73.0,68.0,69.0,73.0,68.0,69.0,72.0,68.0,69.0,73.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,35.52077210170282,33.9867467454033,35.73550469265868,41.15674120749289,36.62522064534351,68.0,38.44612295007579,0.391808891398827,52.31261032267176,0.4638902710570982,34.75375942355306
9,30767.0,31970.1,15669.7,33461.3,34936.1,17089.6,22420.5,23381.2,11537.9,32689.1,34135.7,16693.3,68.0,73.0,65.0,68.0,73.0,65.0,68.0,70.0,65.0,68.0,73.0,65.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],118.16502216001865,113.7523151254865,120.59845309196128,84.85983356734359,78.74958224481631,68.0,102.72914332965243,0.5936157877099891,73.37479112240815,0.04921921902982943,115.95866864275257
