,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 128C  Sample  2  C,normalized Abundance: F2: 129C  Sample  2  A,normalized Abundance: F1: 12       9C  Sample  1  A,normalized Abundance: F1: 128C  Sample  1  C,normalized Abundance: F1: 130C  Sample  1  AB,normalized Abundance: F1: 131  Sample  1  B,average_normalized : F1: 12,P VALUE of : F1: 12,average_normalized : F1: 13,P VALUE of : F1: 13,average_normalized_of_CONTROL
0,65618.9,63926.5,30690.1,76247.8,74100.9,36046.6,53548.5,52236.5,25423.0,74136.2,72283.0,34512.5,232.0,225.0,211.0,232.0,225.0,211.0,232.0,225.0,211.0,232.0,225.0,211.0,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,High,High,0.0,44939.9327309237,46595.240524842535,52831.56264233389,49935.4577413299,53548.5,52856.809621920416,51383.5101918319,0.10593758533667444,53202.65481096021,0.04109773409512886,45767.586627883116
1,236.5,177.2,65.1,238.7,200.9,65.8,179.3,133.8,45.3,250.1,209.0,74.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High,High,High,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,124.57050018254837,126.32753207371121,165.39354581673305,179.97460725224778,179.3,178.31353760298336,172.68407653449043,0.09352107243405443,178.80676880149167,0.001514043124558161,125.44901612812978
2,0.0,0.0,9.6,0.0,0.0,6.7,0.0,0.0,3.3,0.0,0.0,8.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
3,25462.8,28977.8,22576.0,29857.7,34288.0,26964.2,20973.1,23957.8,18787.7,29633.1,33810.3,26374.6,159.0,153.0,153.0,159.0,154.0,153.0,158.0,153.0,153.0,159.0,154.0,153.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,20371.21354508945,21560.56953580592,20688.189664567537,19376.98701709317,20973.1,21127.480572342927,20032.588340830356,0.40315433140740986,21050.29028617146,0.9104105164226864,20965.891540447687
4,23499.3,22316.2,10958.0,27675.6,26171.9,13134.0,17632.3,16687.0,8329.7,26827.4,25332.4,12317.6,129.0,133.0,122.0,129.0,133.0,122.0,129.0,133.0,122.0,129.0,133.0,122.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,15688.150091274189,16457.100730114296,19176.22797069785,17882.779231301254,17632.3,19127.10355333977,18529.503600999553,0.10749643023858346,18379.701776669885,0.15088161989510632,16072.625410694243
5,140669.3,145076.2,107014.4,169296.2,174122.5,129716.2,119451.2,122211.1,91883.4,166644.1,170052.9,126319.6,81.0,80.0,82.0,81.0,80.0,82.0,81.0,80.0,82.0,81.0,80.0,82.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,101987.66816356336,109489.62520410542,117304.14248554171,107048.21150083983,119451.2,118812.07113820601,112176.17699319078,0.42582337270174575,119131.635569103,0.1716154475262704,105738.64668383439
6,20611.0,24224.3,15721.1,23716.4,27647.7,18052.3,15970.1,18928.8,12415.9,22152.6,26002.1,16876.0,82.0,81.0,84.0,82.0,81.0,84.0,82.0,81.0,84.0,82.0,81.0,84.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,17029.53254837532,17385.0956123163,16432.9262254209,15684.806046833315,15970.1,15794.11624591703,16058.866136127108,0.15580325466429185,15882.108122958514,0.045355382899333566,17207.314080345808
7,35105.6,33169.0,23193.1,43396.2,40761.1,28239.5,32298.2,30518.5,20987.5,46821.9,44269.1,30365.8,59.0,55.0,62.0,59.0,55.0,62.0,59.0,55.0,62.0,59.0,55.0,62.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,23317.60113179993,25630.90675763937,30068.92079167202,26715.080644205114,32298.2,33382.561480580276,28392.000717938565,0.210147222787783,32840.38074029014,0.04969646421322159,24474.25394471965
8,9013.9,9569.0,7216.9,10070.4,10501.9,8288.4,6643.6,6985.8,5366.1,8837.6,9433.5,7208.3,68.0,69.0,73.0,68.0,69.0,73.0,68.0,69.0,72.0,68.0,69.0,73.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,6726.947608616283,6603.678989969674,6977.709106798611,6859.505760300364,6643.6,6300.934505878153,6918.607433549488,0.09754542161509719,6472.267252939077,0.4514369666616683,6665.313299292979
9,30767.0,31970.1,15669.7,33461.3,34936.1,17089.6,22420.5,23381.2,11537.9,32689.1,34135.7,16693.3,68.0,73.0,65.0,68.0,73.0,65.0,68.0,70.0,65.0,68.0,73.0,65.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],22474.78187294633,21968.10001632843,23185.098678833056,23413.440766722655,22420.5,23306.313722741637,23299.269722777855,0.10452255627355106,22863.40686137082,0.3618968081148116,22221.44094463738
