,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 130C  Sample  2  AB,normalized Abundances Count: F1: 131  Sample  1  B,normalized Abundance: F1: 128C  Sample  1  C,normalized Abundance: F3: 130C  Sample  3  AB,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundance: F2: 128C  Sample  2  C,average_normalized : F,P VALUE of : F,average_normalized_of_CONTROL
0,65618.9,63926.5,30690.1,76247.8,74100.9,36046.6,53548.5,52236.5,25423.0,74136.2,72283.0,34512.5,232.0,225.0,211.0,232.0,225.0,211.0,232.0,225.0,211.0,232.0,225.0,211.0,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,High,High,0.0,254.13677694269225,232.0,268.59967253377,173.51949916448964,178.99239752063286,241.72905909351692,210.3607283070749,0.4780975903021958,243.0683884713461
1,236.5,177.2,65.1,238.7,200.9,65.8,179.3,133.8,45.3,250.1,209.0,74.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High,High,High,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,0.650952892229231,1.0,0.96807204257061,0.3091859069406199,0.32673538577445976,0.6700568507797423,0.49839611827710106,0.3132769034514026,0.8254764461146156
2,0.0,0.0,9.6,0.0,0.0,6.7,0.0,0.0,3.3,0.0,0.0,8.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,High,0.0,0.0,0.0,0.0,0.022523476664548472,0.033269408581897884,0.0,0.016634704290948942,0.49999999999999956,0.0
3,25462.8,28977.8,22576.0,29857.7,34288.0,26964.2,20973.1,23957.8,18787.7,29633.1,33810.3,26374.6,159.0,153.0,153.0,159.0,154.0,153.0,158.0,153.0,153.0,159.0,154.0,153.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,116.55754261172996,159.0,104.2275890298813,128.23161288804164,133.89298311701654,109.57547071402493,121.73422691552074,0.5937041621666255,137.77877130586498
4,23499.3,22316.2,10958.0,27675.6,26171.9,13134.0,17632.3,16687.0,8329.7,26827.4,25332.4,12317.6,129.0,133.0,122.0,129.0,133.0,122.0,129.0,133.0,122.0,129.0,133.0,122.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,81.18423701516575,129.0,96.19033974621368,56.85266774929983,65.21797198726071,84.38556824701404,74.80177011713738,0.41008390253564697,105.09211850758288
5,140669.3,145076.2,107014.4,169296.2,174122.5,129716.2,119451.2,122211.1,91883.4,166644.1,170052.9,126319.6,81.0,80.0,82.0,81.0,80.0,82.0,81.0,80.0,82.0,81.0,80.0,82.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,594.5715172460073,81.0,575.8055669259107,627.1313987149615,644.1166055956988,548.5852240129349,596.3509148043169,0.4945641393456721,337.78575862300363
6,20611.0,24224.3,15721.1,23716.4,27647.7,18052.3,15970.1,18928.8,12415.9,22152.6,26002.1,16876.0,82.0,81.0,84.0,82.0,81.0,84.0,82.0,81.0,84.0,82.0,81.0,84.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,92.09086028720976,82.0,84.36758084322555,84.742192096778,89.64020067805897,91.600779742346,90.62049021020249,0.606364077043307,87.04543014360488
7,35105.6,33169.0,23193.1,43396.2,40761.1,28239.5,32298.2,30518.5,20987.5,46821.9,44269.1,30365.8,59.0,55.0,62.0,59.0,55.0,62.0,59.0,55.0,62.0,59.0,55.0,62.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,148.4761273654543,59.0,143.6987310683586,143.24589893854883,140.22559158932913,125.42390340583111,132.82474749758012,0.6323579288884591,103.73806368272714
8,9013.9,9569.0,7216.9,10070.4,10501.9,8288.4,6643.6,6985.8,5366.1,8837.6,9433.5,7208.3,68.0,69.0,73.0,68.0,69.0,73.0,68.0,69.0,72.0,68.0,69.0,73.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,33.9867467454033,68.0,36.89684813753582,36.62522064534351,41.15674120749289,36.183826213946695,38.670283710719794,0.5999748070827443,50.993373372701654
9,30767.0,31970.1,15669.7,33461.3,34936.1,17089.6,22420.5,23381.2,11537.9,32689.1,34135.7,16693.3,68.0,73.0,65.0,68.0,73.0,65.0,68.0,70.0,65.0,68.0,73.0,65.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],113.7523151254865,68.0,125.93941874744168,78.74958224481631,84.85983356734359,120.89043185729932,102.87513271232146,0.7221754102261209,90.87615756274326
