,Abundance: F1: 128C  Sample  1  C,Abundance: F2: 128C  Sample  2  C,Abundance: F3: 128C  Sample  3  C,Abundance: F1: 12       9C  Sample  1  A,Abundance: F2: 129C  Sample  2  A,Abundance: F3: 129C  Sample  3  A,Abundance: F1: 130C  Sample  1  AB,Abundance: F2: 130C  Sample  2  AB,Abundance: F3: 130C  Sample  3  AB,Abundance: F1: 131  Sample  1  B,Abundance: F2: 131  Sample  2  B,Abundance: F3: 131  Sample  3  B,Abundances Count: F1: 128C  Sample  1  C,Abundances Count: F2: 128C  Sample  2  C,Abundances Count: F3: 128C  Sample  3  C,Abundances Count: F1: 129C  Sample  1  A,Abundances Count: F2: 129C  Sample  2  A,Abundances Count: F3: 129C  Sample  3  A,Abundances Count: F1: 130C  Sample  1  AB,Abundances Count: F2: 130C  Sample  2  AB,Abundances Count: F3: 130C  Sample  3  AB,Abundances Count: F1: 131  Sample  1  B,Abundances Count: F2: 131  Sample  2  B,Abundances Count: F3: 131  Sample  3  B,Found in File: [F1],Found in File: [F2],Found in File: [F3],Found in Fraction: F1.1,Found in Fraction: F1.2,Found in Fraction: F1.3,Found in Fraction: F1.4,Found in Fraction: F1.5,Found in Fraction: F1.6,Found in Fraction: F2.1,Found in Fraction: F2.2,Found in Fraction: F2.3,Found in Fraction: F2.4,Found in Fraction: F2.5,Found in Fraction: F2.6,Found in Fraction: F3.1,Found in Fraction: F3.2,Found in Fraction: F3.3,Found in Fraction: F3.4,Found in Fraction: F3.5,Found in Fraction: F3.6,Found in Sample: [S1] F1: 128C  Sample  1  C,Found in Sample: [S5] F2: 128C  Sample  2  C,Found in Sample: [S9] F3: 128C  Sample  3  C,Found in Sample: [S2] F1: 129C  Sample  1  A,Found in Sample: [S6] F2: 129C  Sample  2  A,Found in Sample: [S10] F3: 129C  Sample  3  A,Found in Sample: [S3] F1: 130C  Sample  1  AB,Found in Sample: [S7] F2: 130C  Sample  2  AB,Found in Sample: [S11] F3: 130C  Sample  3  AB,Found in Sample: [S4] F1: 131  Sample  1  B,Found in Sample: [S8] F2: 131  Sample  2  B,Found in Sample: [S12] F3: 131  Sample  3  B,Found in Sample Group: C,Found in Sample Group: A,Found in Sample Group: AB,Found in Sample Group: B,Modifications,normalized Abundance: F2: 130C  Sample  2  AB,normalized Abundance: F2: 131  Sample  2  B,normalized Abundance: F1: 130C  Sample  1  AB,normalized Abundance: F1: 131  Sample  1  B,normalized Abundance: F3: 129C  Sample  3  A,normalized Abundance: F3: 131  Sample  3  B,average_normalized : F1: 13,P VALUE of : F1: 13,average_normalized : F3: 1,P VALUE of : F3: 1,average_normalized_of_CONTROL
0,65618.9,63926.5,30690.1,76247.8,74100.9,36046.6,53548.5,52236.5,25423.0,74136.2,72283.0,34512.5,232.0,225.0,211.0,232.0,225.0,211.0,232.0,225.0,211.0,232.0,225.0,211.0,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,Not Found,High,High,High,High,0.0,47246.65583478727,46533.23854898028,53548.5,52856.809621920416,33276.53834457724,32162.66961091041,53202.65481096021,0.006159767283196844,32719.603977743824,0.004523612258658669,46889.94719188377
1,236.5,177.2,65.1,238.7,200.9,65.8,179.3,133.8,45.3,250.1,209.0,74.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,High,High,High,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,121.01887666085089,134.54680708793046,179.3,178.31353760298336,60.74348823670422,69.2411836896963,178.80676880149167,0.08249939610932458,64.99233596320026,0.025315475795772827,127.78284187439067
2,0.0,0.0,9.6,0.0,0.0,6.7,0.0,0.0,3.3,0.0,0.0,8.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,6.185127221670491,8.200840060152455,0.0,,7.192983640911473,0.08862402902725136,0.0
3,25462.8,28977.8,22576.0,29857.7,34288.0,26964.2,20973.1,23957.8,18787.7,29633.1,33810.3,26374.6,159.0,153.0,153.0,159.0,154.0,153.0,158.0,153.0,153.0,159.0,154.0,153.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,21669.25293920279,21765.875175526584,20973.1,21127.480572342927,24892.090661278726,24578.849573920106,21050.29028617146,0.028575070626734117,24735.470117599416,0.020907118029912478,21717.56405736469
4,23499.3,22316.2,10958.0,27675.6,26171.9,13134.0,17632.3,16687.0,8329.7,26827.4,25332.4,12317.6,129.0,133.0,122.0,129.0,133.0,122.0,129.0,133.0,122.0,129.0,133.0,122.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,15092.98949805395,16308.103042460716,17632.3,19127.10355333977,12124.695661107497,11478.939491469759,18379.701776669885,0.11356535989165706,11801.817576288628,0.05294071164351375,15700.546270257333
5,140669.3,145076.2,107014.4,169296.2,174122.5,129716.2,119451.2,122211.1,91883.4,166644.1,170052.9,126319.6,81.0,80.0,82.0,81.0,80.0,82.0,81.0,80.0,82.0,81.0,80.0,82.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,110536.99579586631,109474.04177532598,119451.2,118812.07113820601,119747.9402554707,117718.95864345842,119131.635569103,0.00979367214605277,118733.44944946456,0.034780484501566906,110005.51878559616
6,20611.0,24224.3,15721.1,23716.4,27647.7,18052.3,15970.1,18928.8,12415.9,22152.6,26002.1,16876.0,82.0,81.0,84.0,82.0,81.0,84.0,82.0,81.0,84.0,82.0,81.0,84.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,17120.64359146423,16739.232213306586,15970.1,15794.11624591703,16665.04061847197,15726.974642628731,15882.108122958514,0.07334011400682273,16196.00763055035,0.33957907440655216,16929.93790238541
7,35105.6,33169.0,23193.1,43396.2,40761.1,28239.5,32298.2,30518.5,20987.5,46821.9,44269.1,30365.8,59.0,55.0,62.0,59.0,55.0,62.0,59.0,55.0,62.0,59.0,55.0,62.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,27603.248037176214,28498.880658642596,32298.2,33382.561480580276,26069.38808602445,28298.303306656522,32840.38074029014,0.022858446751355815,27183.845696340486,0.576809068811891,28051.064347909407
8,9013.9,9569.0,7216.9,10070.4,10501.9,8288.4,6643.6,6985.8,5366.1,8837.6,9433.5,7208.3,68.0,69.0,73.0,68.0,69.0,73.0,68.0,69.0,72.0,68.0,69.0,73.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,6318.48780700577,6072.953610832497,6643.6,6300.934505878153,7651.46394986473,6717.513114272379,6472.267252939077,0.3311283828952277,7184.488532068555,0.26483565335501386,6195.720708919134
9,30767.0,31970.1,15669.7,33461.3,34936.1,17089.6,22420.5,23381.2,11537.9,32689.1,34135.7,16693.3,68.0,73.0,65.0,68.0,73.0,65.0,68.0,70.0,65.0,68.0,73.0,65.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],21147.732129915446,21975.356185222332,22420.5,23306.313722741637,15776.32092051642,15556.714020016247,22863.40686137082,0.1653817154015403,15666.517470266333,0.03302827025878152,21561.54415756889
10,11361.7,11245.5,7284.5,12400.0,12274.9,7862.8,8611.4,8601.4,5527.7,12027.3,11846.2,7676.3,71.0,72.0,62.0,71.0,72.0,61.0,71.0,72.0,62.0,71.0,72.0,62.0,High,Not Found,Not Found,Not Found,Not Found,High,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,High,High,High,0.0,7779.75908602872,7626.164526914076,8611.4,8575.091606606804,7258.5698982911545,7153.648699289579,8593.245803303402,0.04404907817298713,7206.109298790367,0.0431816621155106,7702.961806471398
11,15802.5,15691.7,9313.7,18338.4,18502.7,10912.3,11632.9,11549.7,6898.9,15884.3,15660.3,9238.0,71.0,66.0,67.0,71.0,66.0,67.0,71.0,66.0,67.0,71.0,66.0,67.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],10446.425409341027,10081.547191574724,11632.9,11325.012896229782,10073.725937467894,8609.01823587368,11478.956448114892,0.03865501336055564,9341.372086670788,0.41895226781599193,10263.986300457876
12,10399.1,10299.8,6395.5,12953.6,12981.1,8041.2,9245.3,8951.1,5587.6,12222.7,12203.7,7498.1,66.0,68.0,76.0,66.0,68.0,76.0,66.0,68.0,76.0,66.0,68.0,76.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,8096.054311501811,7856.310381143431,9245.3,8714.405741943163,7423.260449984589,6987.581688071492,8979.852870971581,0.12168944258387654,7205.421069028041,0.1225286443340288,7976.182346322621
13,0.0,36.4,0.0,0.0,34.5,0.0,0.0,28.0,0.0,0.0,39.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,Not Found,High,Not Found,High,High,High,High,0.0,25.32532545966984,25.364326312270144,0.0,0.0,0.0,0.0,0.0,0.0004898181016681662,0.0,0.0004898181016681662,25.344825885969993
14,10848.9,11637.9,6489.7,12125.1,13067.1,7459.1,8281.8,9005.5,4960.1,12945.7,14088.0,7635.4,66.0,66.0,57.0,66.0,66.0,57.0,65.0,66.0,57.0,66.0,66.0,57.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,8145.257800966312,9069.356068204614,8281.8,9229.88230206694,6885.892904352591,7115.5334312827335,8755.84115103347,0.8433101499500172,7000.713167817663,0.16123507130300663,8607.306934585464
15,47544.0,45960.7,32028.0,51170.7,49522.3,34297.2,32612.8,31477.4,21856.2,46753.4,45357.0,31513.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,52.0,52.0,High,High,High,Not Found,High,High,High,Not Found,High,Not Found,High,High,High,Not Found,High,Not Found,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],28470.54998657898,29199.23219658977,32612.8,33333.72310662664,31661.573932399573,29367.39463813458,32973.26155331332,0.014998735889940235,30514.484285267077,0.36649484785579806,28834.891091584373
16,7436.6,8251.3,6393.8,8779.2,9671.7,7734.0,5881.6,6516.2,5202.0,7562.4,8374.8,6571.0,72.0,73.0,71.0,72.0,73.0,71.0,72.0,73.0,71.0,72.0,73.0,71.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Acetyl [N-Term],5893.745920010736,5391.4,5881.6,5391.756484481413,7139.6677511044145,6123.604549461566,5636.678242240707,0.9881203970021109,6631.6361502829905,0.26676614943742866,5642.572960005367
17,23653.2,25637.1,15637.3,26786.2,28750.7,17540.5,21650.1,23636.1,14088.6,31342.6,34395.4,20510.5,64.0,65.0,62.0,64.0,65.0,62.0,64.0,65.0,62.0,64.0,65.0,62.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,21378.283039189366,22142.541858910066,21650.1,22346.301014295346,16192.570751001678,19114.014778836015,21998.200507147674,0.6910156994789662,17653.292764918846,0.1994785062186334,21760.412449049716
18,45278.0,51448.4,29157.3,55562.7,62694.4,36021.2,42912.2,48981.1,28018.0,60814.8,69028.7,39105.4,66.0,64.0,68.0,66.0,64.0,68.0,66.0,64.0,68.0,66.0,64.0,68.0,High,High,High,High,High,High,High,High,High,High,High,High,High,Not Found,High,High,High,High,High,Not Found,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,44302.224959736945,44438.23532263457,42912.2,43359.06488051945,33253.09025033389,36442.855782759754,43135.632440259724,0.09133792056086203,34847.97301654682,0.10512324358369368,44370.23014118576
19,33973.0,34088.1,24367.7,39006.2,39258.7,28245.7,31710.8,32312.0,23105.9,39361.2,40487.4,28850.3,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,0.0,29225.425580458996,26064.355967903713,31710.8,28063.313939618347,26075.11163658779,26885.988180388224,29887.05696980917,0.45262566412234106,26480.549908488007,0.5938679224752459,27644.890774181353
