Accession,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3
XP_005251033.1,73046.29166666667,73046.29166666667,57883.13333333334,73046.29166666667,73046.29166666667,51887.541666666664,73046.29166666667,73046.29166666667,51887.541666666664,73046.29166666667,73046.29166666667,51887.541666666664
XP_011515432.1,243.64166666666665,146.19166666666666,71.21666666666668,243.64166666666665,172.76666666666665,110.73333333333333,243.64166666666665,188.95000000000002,71.21666666666668,243.64166666666665,146.19166666666666,71.21666666666668
XP_006716651.1,0.0,0.0,38.725,0.0,0.0,30.875000000000004,0.0,0.0,38.725,0.0,0.0,38.725
NP_008835.5,29601.466666666664,33429.85,36379.16666666668,28609.675000000003,36379.16666666668,37842.225000000006,29601.466666666664,33429.85,37842.225000000006,28609.675000000003,33429.85,36379.16666666668
XP_016873759.1,27890.899999999994,26287.74166666667,18948.15,26287.74166666667,22855.13333333333,17111.6,26986.133333333335,24454.075,18343.8,26986.133333333335,24164.241666666665,18017.26666666667
XP_006717563.1,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333,175191.50833333333
NP_001275582.1,24164.241666666665,27464.816666666666,27890.899999999994,23802.908333333336,25867.533333333336,25867.533333333336,23154.725000000002,24833.56666666667,25428.61666666667,24164.241666666665,26287.74166666667,26986.133333333335
NP_002147.2,44544.541666666664,40781.24166666666,37842.225000000006,44544.541666666664,43229.01666666666,41877.066666666666,47151.5,46159.85833333334,44544.541666666664,41877.066666666666,39022.825000000004,37842.225000000006
NP_006280.3,10949.891666666668,10331.125,12244.833333333334,10474.8,9950.483333333334,10949.891666666668,9494.474999999999,9726.425000000001,10200.341666666667,10674.7,10474.8,12244.833333333334
NP_006608.1,33429.85,34914.50000000001,26287.74166666667,32207.583333333332,31276.616666666665,24454.075,33429.85,34914.50000000001,24454.075,34914.50000000001,34914.50000000001,25867.533333333336
XP_006717309.1,12598.891666666665,12244.833333333334,11440.6,12403.575000000003,12244.833333333334,11725.324999999999,11835.199999999999,11992.16666666667,11440.6,13218.383333333333,13114.6,12470.074999999999
NP_002464.1,19204.516666666666,18683.083333333332,16469.858333333334,16128.449999999999,16128.449999999999,14258.366666666667,15847.483333333332,15599.916666666664,13766.699999999999,18017.26666666667,18017.26666666667,16469.858333333334
NP_001104026.1,13114.6,12902.491666666669,11835.199999999999,13346.566666666666,12598.891666666665,11835.199999999999,12470.074999999999,12153.683333333332,10674.7,11835.199999999999,11570.141666666668,10331.125
XP_006717310.1,0.0,38.725,0.0,0.0,38.725,0.0,0.0,38.725,0.0,0.0,38.725,0.0
NP_005091.2,12244.833333333334,13114.6,10474.8,11835.199999999999,12761.858333333332,9726.425000000001,13114.6,13573.475,10949.891666666668,12470.074999999999,13573.475,10474.8
XP_005254502.1,51887.541666666664,51887.541666666664,47151.5,47151.5,44544.541666666664,43229.01666666666,46159.85833333334,47151.5,46159.85833333334,54640.21666666667,54640.21666666667,57883.13333333334
NP_001367.2,9361.533333333333,9494.474999999999,10674.7,9062.883333333333,9361.533333333333,10200.341666666667,8408.275,8346.25,9361.533333333333,8716.816666666668,9208.466666666665,10200.341666666667
NP_004915.2,26986.133333333335,28609.675000000003,27464.816666666666,30392.716666666664,32207.583333333332,30392.716666666664,31276.616666666665,36379.16666666668,32207.583333333332,27464.816666666666,28609.675000000003,25428.61666666667
NP_733821.1,54640.21666666667,64140.99999999999,54640.21666666667,57883.13333333334,64140.99999999999,57883.13333333334,57883.13333333334,64140.99999999999,57883.13333333334,51887.541666666664,57883.13333333334,47151.5
NP_005338.1,39022.825000000004,39022.825000000004,39022.825000000004,43229.01666666666,46159.85833333334,46159.85833333334,41877.066666666666,41877.066666666666,41877.066666666666,39022.825000000004,40781.24166666666,39022.825000000004
NP_001269554.1,422.59999999999997,584.9583333333333,188.95000000000002,422.59999999999997,584.9583333333333,188.95000000000002,422.59999999999997,584.9583333333333,172.76666666666665,422.59999999999997,422.59999999999997,172.76666666666665
NP_002853.2,23802.908333333336,24454.075,31276.616666666665,22563.158333333336,24164.241666666665,29601.466666666664,20608.30833333333,22563.158333333336,27464.816666666666,21787.308333333334,22855.13333333333,31276.616666666665
XP_011522180.1,12403.575000000003,11992.16666666667,9494.474999999999,11725.324999999999,11314.225,9062.883333333333,11314.225,11158.391666666665,8615.741666666667,12902.491666666669,12153.683333333332,9361.533333333333
NP_001258898.1,46159.85833333334,47151.5,51887.541666666664,40781.24166666666,41877.066666666666,44544.541666666664,40781.24166666666,40781.24166666666,43229.01666666666,47151.5,47151.5,54640.21666666667
NP_001952.1,40781.24166666666,44544.541666666664,40781.24166666666,37842.225000000006,39022.825000000004,36379.16666666668,32207.583333333332,37842.225000000006,34914.50000000001,40781.24166666666,43229.01666666666,40781.24166666666
XP_016877802.1,1140.25,110.73333333333333,243.64166666666665,1140.25,110.73333333333333,243.64166666666665,1140.25,110.73333333333333,243.64166666666665,1140.25,110.73333333333333,279.7583333333333
NP_009057.1,28609.675000000003,27890.899999999994,28609.675000000003,27890.899999999994,26287.74166666667,27890.899999999994,27464.816666666666,26287.74166666667,27890.899999999994,29601.466666666664,27890.899999999994,30392.716666666664
NP_003290.1,37842.225000000006,37842.225000000006,41877.066666666666,46159.85833333334,47151.5,47151.5,44544.541666666664,44544.541666666664,47151.5,43229.01666666666,44544.541666666664,44544.541666666664
XP_011541100.1,43229.01666666666,43229.01666666666,46159.85833333334,39022.825000000004,37842.225000000006,40781.24166666666,39022.825000000004,39022.825000000004,40781.24166666666,44544.541666666664,41877.066666666666,46159.85833333334
NP_006827.1,9062.883333333333,8299.55,10949.891666666668,8615.741666666667,7593.208333333333,10674.7,8346.25,7454.891666666666,9950.483333333334,9062.883333333333,8408.275,11992.16666666667
NP_001348.2,12470.074999999999,13766.699999999999,13346.566666666666,12598.891666666665,13573.475,13346.566666666666,12902.491666666669,14020.833333333334,13218.383333333333,12153.683333333332,14258.366666666667,12902.491666666669
NP_001419.1,57883.13333333334,57883.13333333334,73046.29166666667,54640.21666666667,54640.21666666667,64140.99999999999,54640.21666666667,57883.13333333334,64140.99999999999,64140.99999999999,64140.99999999999,73046.29166666667
XP_016860269.1,9494.474999999999,7454.891666666666,6388.450000000001,10331.125,7771.416666666665,6428.233333333333,9726.425000000001,7715.266666666667,6388.450000000001,10200.341666666667,8615.741666666667,7044.391666666666
NP_005339.3,11992.16666666667,16128.449999999999,14683.733333333332,10949.891666666668,14020.833333333334,13573.475,10674.7,12598.891666666665,12598.891666666665,11725.324999999999,15281.308333333332,15599.916666666664
XP_005271449.1,11440.6,14683.733333333332,13114.6,13573.475,17111.6,16128.449999999999,13218.383333333333,16785.7,15018.474999999999,13114.6,16128.449999999999,14683.733333333332
XP_016885266.1,14683.733333333332,12470.074999999999,15281.308333333332,13766.699999999999,11992.16666666667,13766.699999999999,13573.475,11440.6,13346.566666666666,14886.500000000002,12761.858333333332,15018.474999999999
NP_004095.4,7521.358333333333,6997.916666666667,8408.275,7044.391666666666,6789.300000000002,7973.575,7279.5250000000015,6908.641666666666,8117.649999999999,7884.566666666668,7521.358333333333,8860.183333333332
NP_001605.1,2967.4833333333336,1401.3916666666667,1140.25,3091.4250000000006,1401.3916666666667,1140.25,3091.4250000000006,1401.3916666666667,1140.25,3091.4250000000006,1401.3916666666667,864.4750000000003
NP_001093.1,6758.525000000001,6758.525000000001,6092.308333333334,7521.358333333333,7172.666666666667,6997.916666666667,8615.741666666667,8215.05,7521.358333333333,6908.641666666666,6633.600000000001,6197.083333333333
NP_001092.1,47151.5,46159.85833333334,44544.541666666664,51887.541666666664,51887.541666666664,54640.21666666667,51887.541666666664,51887.541666666664,54640.21666666667,46159.85833333334,46159.85833333334,43229.01666666666
