,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161
normalized Abundances (by Bio. Rep.): Sample- A1,77459.20762,242.443746,45151.4208,5331.408588,36158.54281,24383.83859,9911.261179,13959.93443,4922.529957,6589.33071,17523.03366,17222.03857,5851.799574,24177.09449,27864.75018,16989.59857,13498.29094,31159.1213,8718.265335,5068.761197,12690.83165,14470.81205,4596.623578,52.17640487,6851.585798,4904.28783,19793.68803,7636.781846,12815.19195,23539.50275,41588.6158,6374.250154,6284.314509,7927.773186,8069.591009,21694.498,32725.39421,7871.28144,13701.40623,5377.406208,12217.22289,34931.51461,32338.38652,5235.784538,25520.53884,5147.61426,11826.19408,74.0473415,15559.94546,4810.919527,7605.103314,138.1890122,18458.48206,9558.481991,92.68177182,4340.449199,16647.41159,11179.7755,23503.0185,11136.81824,9536.905282,25644.99722,56.39367068,24232.1151,4981.375526,13206.90729,1386.107387,15846.71954,21911.24584,6860.903013,784.9018199,8270.156324,3897.930517,10163.6106,3955.5011,3410.296899,4393.900592,15208.44126,16555.6125,9610.56032,17588.35224,7245.753037,130.73524,6915.433241,20945.98235,7772.420883,15001.99139,3916.859176,20761.01111,6717.123672,5868.766713,6874.04519,7066.077898,2928.842065,5632.599828,23175.64098,4593.19092,169.279088,9701.280572,4244.040542,16247.85017,8332.336476,5152.616133,20093.21198,5016.290564,10206.96017,7875.498706,6986.832532,18732.50626,4364.673959,4341.920339,6765.180887,8448.164172,6161.131117,3485.913456,33.44389861,5628.480638,6954.467468,5581.992638,2668.352345,6182.707826,2614.999028,6233.805395,3619.492898,751.1636935,3822.706265,2992.591432,7623.639669,11619.35191,11897.29915,6475.464533,3355.962823,4802.288843,13492.99484,4530.912692,3612.235278,6239.199572,5010.504083,3419.614114,18157.29082,6122.881497,7904.627262,17037.85194,4335.545402,7302.931315,2464.452447,7985.834148,6228.509294,5897.306814,273.4357458,7352.950049,60811.1095,10020.81201,4484.620844,4405.375478,4155.281808,2559.684193,3874.784594,5982.730966,3994.044948,4322.795529,13642.65874
normalized Abundances (by Bio. Rep.): Sample- A2,65652.56952,177.9951555,40691.42908,5940.55509,32253.71448,17536.64266,9659.493194,12428.38548,4497.810883,4751.735281,17969.714,14997.39868,4883.570418,22218.29623,28619.38831,15431.71041,11668.73866,22871.0928,7631.907762,5716.134119,8885.050359,13151.52956,4801.350655,0,6550.646996,4450.321881,15510.38621,7895.843833,13616.1421,18588.0456,36212.84416,6600.528167,5747.320926,7358.491609,7759.224356,19399.96577,27891.54849,8205.585527,12633.75769,5201.817605,10006.09202,29823.71292,29259.86963,6044.127183,22869.05502,5388.495451,11061.30472,276.4285142,10579.85839,5350.043536,6898.043216,30.30081791,22886.15461,7526.475091,6.290520676,3295.169648,14136.30614,10839.89611,20442.68602,8276.907628,10189.58031,20567.61044,440.7794418,24453.11445,4858.319737,10638.68805,2283.459006,13123.70951,12502.18835,5732.436314,623.9133324,7667.70171,4650.732554,10401.95183,3677.916821,2933.331811,3236.33999,13213.54878,12748.13885,11234.86993,17671.57876,6189.695148,30.65521344,7787.133004,19857.579,6140.611367,11657.84099,3477.949143,18583.26126,5821.212394,3995.898212,5374.851223,5534.240613,3460.317965,5830.958272,18321.54017,4038.602873,219.1050371,9368.357265,4125.695575,14780.42002,7411.473741,4727.902181,22180.5531,5438.376622,8989.065448,7769.23603,7115.021879,15817.91294,4384.935906,5117.294271,5517.318227,7472.252575,5625.851858,3310.85165,184.9944672,4406.642632,7256.1599,4202.156411,2371.969289,6909.295274,2600.554407,7032.004726,4063.587758,753.8878935,3122.401826,2761.006984,8574.068281,10400.44565,10629.47376,5761.230951,3948.054815,4126.315767,11992.12458,3374.642846,4368.013519,6529.471863,4667.034749,4062.878967,16855.67165,7292.574041,7177.572691,16968.54663,3398.475945,7596.468208,2342.288664,7794.398113,5538.847755,5768.40746,184.1084784,9205.423919,45765.93009,8678.969358,3677.296629,5925.581878,3170.245223,2375.07025,2443.734384,5093.283974,3731.076151,4205.080174,11388.50039
normalized Abundances (by Bio. Rep.): Sample- A3,48705.82651,88.86574624,43055.786,6309.752505,39553.50822,19718.33223,11836.9743,19305.6803,3989.284828,6542.49161,20560.13838,18946.234,4832.039387,23308.05314,25716.91236,13576.73231,13930.20364,22699.36546,9186.366112,7884.582512,10550.36522,13386.00764,4689.398957,8.535663993,6756.641936,3686.363597,21582.80577,6930.390118,13239.3839,20925.74932,34035.67565,9232.648379,4094.558018,7099.680787,7010.909882,17712.07183,29233.51109,6263.565079,14829.76778,6351.008214,11255.0317,30891.42156,26789.65565,4399.091541,22124.25139,5387.616272,10719.37136,0,11062.88442,6491.75183,7591.240193,106.5061185,17455.0535,8233.596328,5.405920529,5088.678351,15565.54202,9048.372877,19715.10765,11290.02792,4110.017053,21991.85376,155.3490847,21434.4749,4415.783506,8892.170226,1746.396853,11649.56906,12974.30411,5136.66775,1098.350274,11179.06429,7070.280167,11476.86412,5254.365073,4137.236337,3856.982036,14033.95937,9866.943054,10068.28988,18016.60535,8704.195937,97.78077308,8935.322749,19561.27601,6917.112419,14036.42523,4013.943413,15038.79671,6776.179122,4389.038425,5232.077506,5820.658958,4203.529994,5891.979173,20144.26186,4976.955993,253.8885834,11437.60007,4603.378432,15881.07706,6647.85964,4185.984463,21346.08335,5751.614921,6244.9763,8806.908427,8529.689028,18166.7382,6725.818704,5715.670291,5904.403306,5714.816725,7891.221362,5673.750697,360.7740648,6008.159044,7488.432862,5954.194679,3628.605604,6486.345909,2736.533876,7600.724264,4094.273495,783.5739546,2963.013494,4137.6157,6708.368014,12554.82365,10573.31667,5178.587345,5077.487147,3281.20408,10650.80153,4621.872371,4659.14477,7021.911404,4994.691206,4572.555201,19540.12654,6101.482304,9133.065632,12648.24175,2668.343405,9456.94666,2234.067789,8980.941131,6216.144723,4905.540938,291.445505,7159.051072,57666.47173,7737.294888,4589.816211,7586.118794,4501.614349,3551.500106,2946.985414,5180.863522,4002.467687,5351.766483,12838.11285
normalized Abundances (by Bio. Rep.): Sample- B1,76211.45687,255.1610274,53176.72235,5153.185541,33311.70872,22612.70012,11138.89457,14928.08434,4569.710857,6672.897455,20697.34308,16983.63441,5680.194933,27195.89667,23825.63668,17458.35034,14439.00953,34153.35203,9248.374502,5048.210548,11817.73933,17759.78963,4614.242762,81.01120073,7627.083274,4867.269363,21435.46669,7227.266318,12947.62728,22170.00059,42177.53572,5863.270545,6137.544394,7827.913437,7634.165691,22501.12781,30772.32289,7431.783218,13056.67709,5353.724645,11388.52549,34209.91434,30892.62695,5488.969692,25785.4286,5083.137533,12435.94696,78.58571568,15106.21196,3938.502627,8152.249298,120.9831944,17880.09369,8885.910016,86.25024844,4500.244965,16820.35076,11842.38226,24736.74589,11958.90256,8865.535942,23725.80372,55.10702038,24658.74229,5573.66763,13032.7133,1388.735721,15369.9107,21753.39927,7191.078082,824.4708788,8693.326503,4390.321983,9732.016222,3765.517033,3270.135966,4044.059737,14997.06513,17538.39135,8169.615771,16400.25675,6748.087492,127.9685913,6308.007484,19215.08066,7324.188701,16265.39978,3649.384809,23144.1724,6570.736025,6131.626211,6625.260929,7505.614983,3058.245592,5173.462596,21508.61932,4646.550223,142.133424,9273.11445,3955.966119,14897.03813,7493.875635,4658.48361,18261.96205,4634.325779,9233.336495,7673.16749,6907.199311,20113.8684,4007.483422,4014.080741,7136.650197,8005.167884,6416.281137,3721.761283,41.13622648,5397.383376,7255.207906,5036.180142,2591.388229,5880.442979,2750.403029,6449.170714,3558.38061,688.5466965,3967.802486,3135.473036,6797.761426,11420.34786,11226.40607,6248.922668,3461.943324,4449.988915,14727.54523,4460.078933,3282.360411,6271.819247,5844.64282,3639.585849,18227.90824,5780.415975,8661.892217,18009.22651,4274.965913,6108.147516,2388.132582,8315.338913,5830.089909,6219.33175,257.0043961,7034.100689,68974.48861,9195.304889,4546.814278,4040.27598,4883.9567,2404.237803,3591.173168,5781.095111,4480.550026,4120.802084,12879.03457
normalized Abundances (by Bio. Rep.): Sample- B2,65723.9575,168.3553583,47582.84499,5952.202358,30020.79309,16625.2028,10955.10461,13414.2668,4103.228297,4950.60804,21551.35351,14885.26396,4855.357861,25980.35343,24716.84335,16376.3606,12764.68014,25390.62053,8078.655933,5859.975995,8412.076027,16513.41057,4804.397681,0,7340.044602,4428.644174,17480.76463,7603.82801,14215.7557,17744.99272,36796.89616,6057.858019,5948.733865,7337.465465,7498.617028,20899.81027,26563.32721,8035.69997,12099.61867,5241.161107,9257.499184,30101.54675,28154.8323,6493.821023,23289.1579,5371.363032,12042.61086,273.7442117,10256.6033,4543.993831,7555.713774,44.64574214,22425.85866,7163.418219,1.867650567,3403.926563,14612.76485,11639.19834,21422.12988,8831.585919,9493.97932,19286.07125,435.0736465,25481.69073,5500.319857,10806.40405,2365.512847,13146.92596,12386.3475,6178.365949,603.7847477,8373.922594,5776.554269,10076.77523,3462.179473,2843.008842,3041.780224,12949.66648,14028.81277,9774.838391,16630.62788,5838.453545,26.32497943,7278.67894,18456.92333,5870.648284,13016.54616,3311.433392,21400.87424,5776.998948,4269.538133,5280.203897,6032.066654,3624.665073,5327.695583,17296.75658,4103.761911,213.3568434,9062.196296,3898.320349,13739.32693,6795.402122,4506.107205,20353.92269,5074.22872,8316.292234,7595.912729,7063.632318,17237.61432,4055.025125,4827.432038,6069.33073,7060.163824,5985.99794,3701.861296,181.3399765,4280.299358,7499.862129,3908.814766,2303.346764,6591.739274,2790.803562,7225.85111,3883.290208,700.1910913,3322.995038,3044.092553,7732.518028,10205.02057,10357.6343,5698.112946,4079.482454,3809.918222,13312.52431,3387.117708,4371.7253,6881.136176,5513.927025,4325.656586,17446.07969,7129.711573,8121.434025,17646.62979,3453.997385,6518.189416,2278.889435,8479.845062,5401.867991,6266.590204,155.9932903,8938.130937,52961.76756,8158.253422,3755.578484,5609.088268,3740.993022,2239.490902,2352.172486,4947.228482,4236.098294,4154.455284,10991.03465
normalized Abundances (by Bio. Rep.): Sample- B3,48834.84388,86.98512616,50225.84203,6167.636925,36230.21213,19293.2246,13523.65681,21377.43023,3615.086566,6842.798097,24960.43447,18897.35156,4765.371763,27282.48856,22733.95898,14380.04496,15506.26841,25060.4053,10070.1277,8162.661323,10124.83953,16842.1728,4753.436373,2.291594981,7489.218848,3650.128872,24131.83191,6586.521391,13564.42811,19916.44295,34738.19284,8815.956859,4091.738322,7108.623114,6712.941048,19124.21947,27685.80928,5944.206415,14503.50464,6241.922796,10511.73714,30660.29957,25437.46816,4794.589599,22574.50216,5514.532356,11656.19787,0,10899.87604,5405.968044,8387.046665,82.0200037,17000.48382,7824.364614,8.688964303,5355.839403,16367.14425,9548.789837,20365.50008,12045.38709,3829.923595,20577.75907,168.6231974,22045.71662,5109.015527,8969.780172,1653.290296,11709.57294,13159.10225,5490.661575,1173.487597,12331.93194,8690.301067,11191.67247,5036.734802,3853.889859,3549.394176,14074.40348,10487.1025,8777.477159,17066.55814,8108.331425,104.4585379,8161.706491,18293.4208,6426.587158,15863.47077,3845.200895,17167.00639,6599.984512,4660.43581,5093.069845,6351.632906,4506.803463,5471.469467,19034.75178,5205.835415,259.1411991,11148.13217,4219.972158,14489.65958,6394.504829,3975.439877,19586.73972,5358.512931,5707.312784,8613.246186,8248.118719,19919.68937,6254.240119,5430.984622,6146.630638,5435.949745,8328.420026,6179.667799,361.4991083,5845.094932,7743.299441,5405.777077,3500.793266,6141.283583,2864.780176,8015.330862,3972.002484,739.516797,3134.329035,4405.018452,6080.938249,12248.76614,10368.60794,5171.652457,5499.923438,3152.948245,11835.03776,4560.560462,4314.118518,7219.288055,5775.774184,4752.863474,19879.68194,5851.396818,10460.27174,13918.57502,2744.757889,8213.93576,2224.565828,9708.628587,6085.998854,5156.47064,299.4350775,7098.501903,67342.14688,7334.536186,4679.532435,7153.213733,5209.081841,3338.471955,2891.133518,5076.551265,4794.780565,5231.711342,12325.24812
normalized Abundances (by Bio. Rep.): Sample- C1,77480.1,261.4,54852.2,5079.4,34229.8,22907,12690.4,15711.4,4450.5,6894.8,22241.5,19479.5,6835.8,27947.1,22177.8,18427.1,14654.2,35373.9,10381.8,5181.3,12379.7,16400.9,4654.1,69.6,7953.6,5305.6,21903.7,6866.3,13839.7,24370.8,43406,5636.6,6224.5,7063.4,7635.4,23731.8,29850,7581.5,13235.5,5390.2,11071.9,35532.5,31716.3,5574.7,26623.8,5652.3,12753.6,75.2,15492.8,3820.6,9164.2,150.7,19678.5,8847,85.5,4564,18095,11834.8,29716.7,12788.8,9678.8,24596.8,59,26879.9,5395.7,14105,1556.9,16177.9,23650.3,7761.5,900.9,8864.8,5148.3,9666.9,3976.6,3149.3,4043.6,15937.3,18603.7,8434.4,19323.6,6510,141.8,5955.1,19737.6,7096.4,17525.6,3689.2,22586.4,6870.9,6454.6,6711.9,7640.1,3283.9,5042.1,21546.8,4821.8,147.6,9869.5,3792.9,15151.4,8163.3,5096,17981.1,4512.1,9418.4,7718.5,6994.6,20966.1,4118.9,3790.9,7109.4,7902.8,6731.5,3806.9,41.1,5301.6,7510.4,5373.1,2509.5,5501.7,2967.4,6532.6,3595.7,829.2,4002.5,3024.1,6946.7,10937.6,12411.5,6300.3,3722.2,4525.3,15631.1,4666.5,3574.7,6643.9,5936.9,3798.2,18909.9,6309.7,8898.4,19496.5,4386.5,6029.7,2343.8,12770.2,6344.9,6385.4,266,7476.1,70370.4,9355.4,4478.3,3887.8,5107.9,2556.2,3631,5298.9,4911.7,3895.4,12576.9
normalized Abundances (by Bio. Rep.): Sample- C2,66676.12397,192.8163819,49043.83273,5764.7716,30443.99035,16654.78887,12774.99826,13919.75423,4066.398895,5119.128867,23084.284,17161.02317,5947.910645,26617.88156,22893.9326,16881.56723,12818.0898,25863.68832,9007.77516,6105.94339,8677.102369,15270.65575,4833.738711,0,7815.362866,4763.167184,17677.57388,7342.177588,14755.65707,19040.61771,38028.19266,5825.391902,5832.878144,6566.895053,7539.193569,21761.77542,25704.01225,8189.035902,12230.2372,5236.352463,8898.494284,30932.05681,28845.86025,6511.022124,24103.69106,5955.670774,12613.77017,251.0629973,10606.36174,4252.094218,8560.609138,37.06602796,24671.8238,7078.241906,6.573285747,3458.369964,15471.87133,11729.93712,26032.31136,9473.930674,10502.4673,19713.55784,485.236302,27962.75757,5510.787143,11570.62624,2623.380083,13706.39633,13095.99371,6742.821742,747.0721843,8610.639146,6575.750729,9929.130712,3692.360677,2839.202965,3088.713936,13745.10568,14669.83917,10057.85756,20306.52299,5522.472984,21.63706558,6989.593844,18815.39138,5644.261361,13618.66122,3299.241671,20767.93114,6050.800826,4393.511157,5160.942268,5956.309843,3879.425434,5166.511302,17061.87611,4275.648492,212.7188304,9614.79984,3611.472744,13988.49984,7245.678102,4813.836262,20284.06427,4927.499328,8515.509094,7643.544481,7297.625318,18080.8267,4152.490679,4474.946864,6063.582215,6951.706156,6403.110683,3778.635053,166.8884215,4230.548448,7784.413646,4206.4464,2277.826103,6238.96113,2922.464584,7320.17534,3874.404174,859.3658158,3338.407499,2956.609152,7830.152759,9735.949148,11652.79231,5710.724584,4291.625228,3849.023987,13908.89005,3474.803178,4558.025892,7155.660605,5610.208089,4584.227739,17593.67319,7777.475178,8115.908098,18565.88041,3599.969494,6465.92208,2214.101749,12201.29649,5708.71608,6313.001891,184.1432966,9472.835127,53419.54124,8381.213214,3712.445717,5293.50353,3753.437457,2289.877126,2353.418889,4590.709729,4575.372062,3806.662813,10627.9988
normalized Abundances (by Bio. Rep.): Sample- C3,49261.09248,106.0077509,52417.97571,6300.958842,38158.25838,18914.10783,15532.49999,22156.80217,3612.342187,7102.322267,26696.3181,21828.72986,5730.329759,27656.29907,20925.79209,14820.49439,15534.07631,25749.8344,10955.84194,8568.89418,10526.68788,15678.50694,4822.860063,9.556460811,8150.97143,4045.53557,24793.30163,6402.631703,14391.83294,21558.98151,36255.34043,8454.807772,4087.308141,6372.484517,6605.287784,19952.90497,26942.22455,6130.026269,14488.97387,6414.651169,10311.51974,31881.23995,26700.85003,4803.845661,23548.8928,6093.278229,12150.6951,0,11257.11675,5020.097532,9556.06673,109.4559584,19005.14051,7773.047887,10.1475821,5484.718864,17491.47593,9554.884488,24176.17101,13129.39491,4093.711955,21412.67899,213.985906,23992.72637,5048.372834,9702.467769,1881.243497,12203.50194,14036.17497,6049.535254,1259.777983,12664.97062,9747.195946,10995.54559,5255.363805,3960.118544,3618.844521,15127.28634,11343.6175,8911.448966,20404.12755,7642.508603,110.0470796,8217.177015,18883.271,6256.132144,16595.5331,4006.718605,16799.07586,7009.811785,4934.286425,5175.562431,6449.625845,4788.476508,5335.95334,18809.47936,5219.798007,249.0591024,12006.46151,4026.225608,15032.0173,6863.903348,4450.552172,19566.31165,5265.905468,6065.791089,8773.126585,8609.484509,21170.0237,6285.392648,5011.723314,6356.819803,5343.145316,8812.23911,6321.155486,339.1065785,5769.146723,8287.027847,5818.603871,3517.959821,5918.99597,3070.776567,8257.570303,3966.423838,973.970841,3147.425294,4428.877725,6258.299589,11781.53986,11968.53122,5208.763743,5786.190721,3167.030817,12499.35814,4572.618718,4589.761235,7514.629365,5997.812141,5136.252865,20837.41946,6478.393748,10918.20722,14452.22583,2894.326863,7944.473061,2148.528839,14387.69509,6439.182703,5388.957216,315.1661663,7642.804164,69096.56135,7577.189701,4665.42476,6931.488215,5563.633556,3426.237501,2890.189014,4687.985889,5256.349007,4932.414541,11987.34858
normalized Abundances (by Bio. Rep.): Cntrol 1,75777.83284,273.0690391,43596.30402,5347.161582,37450.97828,23788.91339,9857.400815,13197.94539,4922.289647,6442.373965,16608.76365,22654.94283,7865.367068,25487.61814,26035.12646,18558.90724,12506.85561,31670.91908,8837.453698,4977.099203,12293.68559,14103.18394,4800.534133,53.24356892,6576.070132,5161.983581,21155.21634,7399.877337,13142.54859,23846.07193,37331.86537,6366.717202,6727.873028,7350.940234,8181.500759,21381.01214,33602.36869,8058.668628,13149.79128,5105.412289,12534.35827,32851.67352,30303.2249,5073.113801,23610.39084,5300.769208,10911.21241,53.0478205,15050.99777,4073.622393,8187.275337,171.5734859,19092.02805,9639.924326,84.26969271,4302.158668,16330.01791,11043.44046,28502.04586,10953.88556,9965.356066,26551.8044,47.07749384,23238.46885,4993.346322,12632.33035,1802.353532,15144.46763,21009.97102,6821.636519,1028.16855,8732.336799,4053.949677,10270.91934,4320.754767,3558.118942,4514.056327,16875.96024,15871.08575,9845.753784,24338.47707,7214.601462,122.147011,6749.013857,21124.09234,7909.801959,14294.62589,4034.081213,19196.1662,7214.699337,6059.783687,6936.247216,7153.13646,3088.42062,5852.192493,23446.35367,4654.701563,150.432657,9182.558154,4208.884548,17422.00044,9412.75829,5525.586262,19623.68074,4963.788311,10507.28555,8338.001617,6692.442565,18315.00471,4495.851725,4132.444792,6408.803111,8382.925878,6159.126008,3608.426285,42.86890291,5747.662839,6972.558547,5631.094658,2643.680221,6066.83063,2686.549123,5901.618968,3745.645924,1036.683607,3781.663632,2902.166003,7807.817034,11122.03345,12061.13647,6722.294198,3469.738532,4877.756882,13480.31248,4593.823806,3616.45197,6123.499796,5047.666507,3251.576924,17107.82424,5888.112327,7953.551729,16408.12153,4120.112642,6931.45138,2478.566432,9605.178982,6254.749109,5287.947686,273.6562844,6968.741453,56155.62021,10137.1253,4566.516902,4339.252992,3935.61976,2697.902532,3733.70527,5533.90557,3934.151647,3976.726928,13333.50117
