,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Accession,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3,average_normalized(by Bio. Rep.): Sample- A,P VALUE of(by Bio. Rep.): Sample- A,significant(by Bio. Rep.): Sample- A,Expression (by Bio. Rep.): Sample- A,Adjusted P Value(by Bio. Rep.): Sample- A,average_normalized_of_CONTROL,average_normalized(by Bio. Rep.): Sample- B,P VALUE of(by Bio. Rep.): Sample- B,significant(by Bio. Rep.): Sample- B,Expression (by Bio. Rep.): Sample- B,Adjusted P Value(by Bio. Rep.): Sample- B,average_normalized(by Bio. Rep.): Sample- C,P VALUE of(by Bio. Rep.): Sample- C,significant(by Bio. Rep.): Sample- C,Expression (by Bio. Rep.): Sample- C,Adjusted P Value(by Bio. Rep.): Sample- C,FOLDCHANGE of (by Bio. Rep.): Sample- A,FOLDCHANGE of (by Bio. Rep.): Sample- B,FOLDCHANGE of (by Bio. Rep.): Sample- C,LOG2 foldchange of(by Bio. Rep.): Sample- A,LOG2 foldchange of(by Bio. Rep.): Sample- B,LOG2 foldchange of(by Bio. Rep.): Sample- C
0,False,High,Master Protein,-732913762284157568,1977,XP_005251033.1,PLEC#5339#plectin isoform X3 [Homo sapiens],0,1931.671,0,62,257,3757,0,2,1,4689,532.1,5.97,20168,5624.89,60,60,1802,1955,253,242,260,77423.7,72895.2,50085.4,78978.8,74100.9,51355.4,78552.8,73900.5,51145.0,77480.1,73033.2,50001.0,73151.33267384731,64488.48342250779,46217.697684736544,77222.04369502555,67878.58868219749,48370.02656322621,76947.3569480938,68749.20274374094,47284.3565763616,77480.1,67756.53201079939,46981.26416215894,64490.219646816426,0.9254858710733868,0,Downregulated,0.033630207015562866,63543.915430224624,64326.972089398776,0.9404500970271846,0,Downregulated,0.026664244409954064,64072.63205765278,0.9603689878475199,0,Downregulated,0.01756187258851302,1.0148921294853306,1.012323078517785,1.0083204918023776,0.021326394871783425,0.017669793382039133,0.011954268246903488
1,False,High,Master Protein,6611444595035923456,3758,XP_011515432.1,PLEC#5339#plectin isoform X2 [Homo sapiens],0,1929.761,0,63,256,3765,1,1,1,4552,516.4,5.76,20196,5632.65,62,62,1806,1959,252,241,0,279.0,202.1,106.2,247.2,200.9,93.7,263.0,189.3,91.1,261.4,211.2,107.6,263.60432033089864,178.7926022521212,97.99900757743816,241.7014338203456,184.03026773296244,88.25306567516355,257.62486986267413,176.10468236872768,84.22338222908479,261.4,195.940744218805,101.10165844379719,171.32825574282387,0.9073133017913766,0,Downregulated,0.042242722042099626,177.5646695426682,172.65097815349554,0.9338672518160442,0,Downregulated,0.029714853856791217,186.14746755420072,0.8771360834268067,0,Downregulated,0.0569330227154396,0.9648780705311101,0.9723273137509378,1.048336181029921,-0.05158145111195602,-0.04048604603997028,0.06810143532029066
2,False,High,Master Protein,5927523368410573824,3603,NP_008835.5,PRKDC#5591#DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens],0,1302.0610000000001,0,50,176,1880,4,176,1,4128,468.8,7.12,9832,2775.57,49,47,922,958,175,166,0,30043.5,33043.3,36843.4,38415.8,30766.4,38415.8,30766.4,33893.8,37796.4,30969.7,34161.2,38211.0,28385.650171546065,29232.546234525067,33998.27340657802,37561.30235176228,28182.92100139082,36182.62668478067,30137.603787615888,31531.203820756382,34943.36601628299,30969.7,31693.04427749736,35903.303631932475,33975.61667931126,0.6493964225031298,0,Downregulated,0.1874901082129883,32393.46178205567,32204.057874885086,0.9169636349710915,0,Downregulated,0.03764788727932223,32855.34930314328,0.8111349370389855,0,Downregulated,0.09090689235266815,1.0488417973941895,0.9941530204939225,1.0142586650415817,0.06879708465760058,-0.008460165718536269,0.02042562786744868
3,False,High,Master Protein,5353102455870621696,3475,XP_016873759.1,AHNAK#79026#neuroblast differentiation-associated protein AHNAK isoform X1 [Homo sapiens],0,1204.742,0,57,162,1639,0,162,1,5823,621.4,6.15,5441,2048.99,57,56,758,881,161,157,0,27726.8,25447.1,17883.2,18711.9,25865.6,18711.9,25865.6,23607.6,16757.4,28037.4,25595.3,17845.5,26196.789494447166,22512.38608990575,16502.220831533352,18295.68389766556,23693.64506258693,17624.146634013803,25336.96514798473,21962.01214732158,15492.479751544079,28037.4,23746.032814884376,16767.747637163407,19871.158531422097,0.5539232891461829,0,Downregulated,0.2565503749958534,21347.29245908756,20930.485682283463,0.9033950179088901,0,Downregulated,0.04412230883843198,22850.39348401593,0.7012458926217671,0,Downregulated,0.15412966950323426,0.9308514683773366,0.9804749582363705,1.0704117877154253,-0.10337711285068066,-0.02844731106816062,0.09816590859663504
4,False,High,Master Protein,-7115142250704837632,462,XP_006717563.1,VIM#7431#vimentin isoform X1 [Homo sapiens],0,880.334,0,92,61,9278,51,59,1,466,53.6,5.12,58171,14038.37,90,92,4635,4643,60,55,2,165975.6,165430.0,174644.7,184806.0,175228.5,184806.0,175228.5,172895.6,184847.6,174160.5,171817.9,183009.3,156816.79293732293,146351.6090577358,161158.2606276781,180695.28793933173,160514.4239394993,174062.92481498697,171647.22246666005,160843.76503407606,170894.51228242565,174160.5,159404.0113452283,171956.7262141116,171757.545564606,0.42561186989809846,0,Downregulated,0.3709862684964672,165708.8363882547,167795.16659438726,0.6599256425028015,0,Downregulated,0.1805049960793011,168507.07918644664,0.6327820028945612,0,Downregulated,0.19874588120875253,1.0365020315644435,1.012590337676648,1.0168865032135985,0.05172294416085936,0.018050622964458942,0.024158666030903123
5,False,High,Master Protein,3377890585448933888,2964,NP_001275582.1,CLTC#1213#clathrin heavy chain 1 isoform 2 [Homo sapiens],0,807.882,0,68,85,1597,0,85,1,1679,191.9,5.69,9283,2463.87,68,61,778,819,85,77,0,24318.9,27622.9,25656.4,25719.0,23427.3,25719.0,23427.3,26779.1,24977.8,23151.8,26272.0,24449.6,22976.9430311652,24437.25963755625,23675.157608378384,25146.922234730864,21460.091046592486,24223.912445032358,22948.498531307323,24912.440040255653,23092.36878860191,23151.8,24373.84106115741,22973.002865125123,23610.3085754519,0.9974707289653046,0,Downregulated,0.001099839937322503,23614.353107491912,23651.102453388292,0.9614713333223158,0,Downregulated,0.017063659907590404,23499.54797542751,0.8398767696889002,0,Downregulated,0.07578443080732626,0.9998287256897701,1.0015562292021762,0.9951383325411537,-0.00024711776106653487,0.0022434189678276267,-0.007031008628655238
6,False,High,Master Protein,5619484675981056000,3531,NP_002147.2,"HSPD1#3329#60 kDa heat shock protein, mitochondrial [Homo sapiens]",0,759.0319999999999,0,80,45,3141,45,45,1,573,61.0,5.87,20006,4787.05,80,74,1574,1567,45,38,0,41421.1,37822.5,37850.5,40232.7,47379.7,40232.7,47379.7,43175.4,42221.9,48933.8,44728.6,43993.4,39135.41545827306,33460.57990440798,34927.602978435236,39337.788335209625,43401.18902990264,37893.90731471882,46411.36519632144,40165.82199230199,39034.81034180236,48933.8,41496.94683648316,41336.48420614635,40210.961559943695,0.9088955380329116,0,Downregulated,0.04148602861837327,40461.309299500215,41870.66584347527,0.6240451751713247,0,Downregulated,0.20478397022546357,43922.41034754317,0.30243742855414674,0,Downregulated,0.5193644631421956,0.9938126634088034,1.0348322031188562,1.0855410046774168,-0.008954169702213301,0.04939685530554704,0.11841422261584905
7,False,High,Master Protein,-4615289327887409152,1068,NP_006280.3,TLN1#7094#talin-1 [Homo sapiens],0,729.643,0,49,84,855,77,77,1,2541,269.6,6.07,4844,1506.59,49,46,421,434,84,77,7,10635.5,10911.5,11777.8,11808.4,9745.8,11808.4,9745.8,9883.0,10795.3,9236.2,9531.4,10443.2,10048.615587380904,9653.11964113815,10868.292951464698,11545.74114532431,8927.437447844228,11121.958385470669,9546.617706112736,9194.097072636745,9980.424568360473,9236.2,8842.753832609462,9812.49850799501,10531.712326213068,0.5220393146392434,0,Downregulated,0.2822967891664329,9898.146403861449,9573.71311570332,0.3676371666996427,0,Downregulated,0.43458058956931406,9297.150780201491,0.16436751462115615,0,Downregulated,0.7841840117038009,1.064008542256402,0.9672228238580548,0.9392820029995214,0.0895097333780864,-0.04807980617468275,-0.09036972801058742
8,False,High,Master Protein,813436025896797568,2364,NP_006608.1,NES#10763#nestin [Homo sapiens],0,711.084,0,56,76,1849,76,76,1,1621,177.3,4.36,11732,2835.01,56,56,858,991,76,74,0,36302.0,36455.4,25572.5,24347.5,32889.7,24347.5,32889.7,33078.1,23211.5,34163.5,34490.0,24184.9,34298.79583029492,32251.14216794645,23597.73654683651,23805.929045068227,30127.92581710709,22932.139984269423,32217.508297803775,30772.362883576392,21459.396669708032,34163.5,31998.088390656183,22724.289026927418,25621.998282148244,0.3676386673212446,0,Downregulated,0.43457881686946187,28362.401221682867,28149.75595036273,0.957654429859178,0,Downregulated,0.018791178061430488,29628.6258058612,0.762538762063231,0,Downregulated,0.11773807496832835,0.9033790221739194,0.992502564586895,1.0446444775349386,-0.14659668228201012,-0.010857264760718915,0.06301203535262435
9,False,High,Master Protein,-7679085377781864448,347,XP_006717309.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X2 [Homo sapiens]",0,697.561,0,50,90,876,0,2,1,2505,288.4,5.41,4593,1397.09,47,48,422,454,83,82,90,13405.7,12823.2,11888.1,11202.1,12632.5,11202.1,12632.5,12168.6,11120.4,12569.8,11969.2,11121.3,12665.951387311567,11344.350802570018,10970.075348223565,10952.927313102322,11571.738960361612,10550.903596582177,12374.32003247236,11320.377379144742,10280.984629421673,12569.8,11104.42213874868,10449.645669618973,11025.189956682036,0.43545097097840235,0,Downregulated,0.36106073671192845,11346.291438129809,11325.227347012924,0.9763780845687104,0,Downregulated,0.010381977163178364,11374.622602789217,0.9692802756428721,0,Downregulated,0.013550624843027617,0.9716998736372402,0.9981435263467587,1.0024969537239454,-0.041417313645475407,-0.0026808145345150326,0.003597852785896959
10,False,High,Master Protein,2962281166201317376,2863,NP_002464.1,MYH9#4627#myosin-9 [Homo sapiens],0,694.687,0,44,79,1406,66,66,1,1960,226.4,5.6,10014,2405.05,44,38,701,705,78,62,13,18645.4,17893.2,15199.7,15546.7,17064.8,15546.7,17064.8,16339.7,13878.9,16600.8,15822.8,13383.8,17616.51610859404,15829.64765273456,14025.946473397242,15200.888677891455,15631.855215577187,14642.944889349685,16716.03376134054,15200.727303223985,12831.26124719259,16600.8,14679.598520953165,12575.505355762944,15158.562927606108,0.9562606552974231,0,Downregulated,0.019423712611039978,15129.310433834782,14916.007437252372,0.87292122354322,0,Downregulated,0.059024947272860825,14618.634625572036,0.7124035297880731,0,Downregulated,0.14727393737880434,1.0019334981524277,0.985901340479776,0.9662459296809269,0.002786754970614258,-0.020484812099707837,-0.04953766320202214
11,False,High,Master Protein,-4567547795878987264,1081,NP_001104026.1,FLNA#2316#filamin-A isoform 2 [Homo sapiens],0,693.035,0,47,84,810,0,78,1,2647,280.6,6.06,3837,1225.28,45,46,371,439,81,82,7,12269.9,11744.8,10437.3,11456.3,13562.4,11456.3,13562.4,12663.4,11240.9,12774.0,12330.4,10863.1,11592.826702609651,10390.318431126732,9631.309244708053,11201.473043187807,12423.554520166897,10790.326534625148,13285.214962074266,11780.6869239733,10392.388773862998,12774.0,11439.525343350158,10207.039273613504,11471.78469932662,0.8156483938936566,0,Downregulated,0.0884970146527668,11325.721979441543,11819.430219970187,0.6246078815033944,0,Downregulated,0.20439254000361462,11473.521538987887,0.8672423385550112,0,Downregulated,0.06185952813966932,1.0128965482421526,1.0435917676087072,1.0130499017912173,0.018486832619290947,0.06155746858868307,0.01870524155616819
12,False,High,Master Protein,-8201100139023696896,243,NP_005091.2,AKAP12#9590#A-kinase anchor protein 12 isoform 1 [Homo sapiens],0,663.4939999999999,0,58,73,993,0,73,1,1782,191.4,4.41,4550,1615.71,56,54,452,541,71,64,0,12800.6,13270.7,10591.0,10626.9,12149.0,10626.9,12149.0,12740.3,9978.5,13529.6,14234.2,11062.0,12094.241802249824,11740.242388457322,9773.14020011909,10390.521711429736,11128.838838664811,10009.140913803583,11900.701688067029,11852.226544016385,9225.280127035374,13529.6,13205.775290527055,10393.927004695952,10509.500487966043,0.17175357762159024,0,Downregulated,0.7650942078338695,11270.303042422182,10992.736119706262,0.7935698134449753,0,Downregulated,0.10041486064169806,12376.43409840767,0.38596996794389804,0,Downregulated,0.41344648616673224,0.9324949336683827,0.975371831469736,1.0981456356427983,-0.100832207794399,-0.03597578663674382,0.13506939668083257
13,False,High,Master Protein,6488855965708197888,3729,XP_005254502.1,PKM#5315#pyruvate kinase PKM isoform X4 [Homo sapiens],0,659.459,0,77,41,2847,0,5,1,531,57.9,7.84,18334,4862.45,77,69,1318,1529,41,39,50,56097.1,52408.9,52268.8,48863.0,47841.2,48863.0,47841.2,44532.0,43969.5,48862.2,45827.8,45655.4,53001.569598689784,46364.787789070724,48232.49084052353,47776.121200499794,43823.93650904033,46022.51385363413,46863.433171384655,41427.85903457042,40650.4940167041,48862.2,42516.72934616739,42898.11019437675,45874.19052105808,0.9154413687278691,0,Downregulated,0.038369465729688336,45703.3537962218,42980.59540755305,0.3002162655742195,0,Downregulated,0.5225657815872132,44759.013180181384,0.7080893657542846,0,Downregulated,0.14991192789675253,1.0037379472324501,0.9404254138370511,0.9793376079083613,0.005382664133750833,-0.08861456831532015,-0.030121807793536293
14,False,High,Master Protein,-2305783293341844736,1619,NP_001367.2,DYNC1H1#1778#cytoplasmic dynein 1 heavy chain 1 [Homo sapiens],0,654.727,0,30,102,700,102,102,1,4646,532.1,6.4,3364,1082.75,29,29,360,340,99,97,0,8774.4,9408.9,10434.5,11018.6,8628.0,11018.6,8628.0,9218.7,10465.2,7903.5,8461.7,9519.9,8290.214151653896,8323.80858649175,9628.725466730491,10773.508975294744,7903.5,10378.070751850131,8451.66303108423,8576.102669585789,9675.241928691748,7903.5,7850.339940133819,8944.959834750043,9685.02657571496,0.4749149244143951,0,Downregulated,0.3233841823047517,8891.63627802222,8901.002543120589,0.985370832277468,0,Downregulated,0.006400297316260399,8232.93325829462,0.2091483375973317,0,Downregulated,0.6795455830325492,1.0892288295298123,1.0010533792437641,0.9259188073902955,0.12330707301514947,0.0015189051599446913,-0.11104240389751632
15,False,High,Master Protein,3453697574232543232,2984,NP_004915.2,ACTN4#81#alpha-actinin-4 isoform 1 [Homo sapiens],0,640.5740000000001,0,77,63,1668,0,45,1,911,104.8,5.44,9286,2520.79,77,72,821,847,63,58,20,27908.4,29233.9,25519.7,24989.9,31759.5,24989.9,31759.5,33438.7,28342.9,32756.3,34752.4,29715.2,26368.368507250365,25862.469346750542,23549.01387640253,24434.039890886153,29092.629607093182,23537.196221086127,31110.40705096425,31107.826953635362,26203.456643037618,32756.3,32241.529921352274,27920.594804731616,25687.955239688486,0.3453774931725495,0,Downregulated,0.4617059670275203,27848.652735265834,29473.89688254574,0.44603744433726983,0,Downregulated,0.3506286812285465,30972.808242027964,0.16372734683471116,0,Downregulated,0.7858787757651841,0.9224128536444001,1.0583598841469912,1.1121833625655395,-0.11651547808173003,0.0818302841526752,0.1533946607737517
