Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Accession,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3,average_normalized  (by Bio. Rep.): Sample- A,P VALUE of  (by Bio. Rep.): Sample- A,average_normalized  (by Bio. Rep.): Sample- B,P VALUE of  (by Bio. Rep.): Sample- B,average_normalized  (by Bio. Rep.): Sample- C,P VALUE of  (by Bio. Rep.): Sample- C,average_normalized_of_CONTROL,FOLDCHANGE of   (by Bio. Rep.): Sample- A,FOLDCHANGE of   (by Bio. Rep.): Sample- B,FOLDCHANGE of   (by Bio. Rep.): Sample- C,LOG2 foldchange of  (by Bio. Rep.): Sample- A,LOG2 foldchange of  (by Bio. Rep.): Sample- B,LOG2 foldchange of  (by Bio. Rep.): Sample- C
FALSE,High,Master Protein,-7.32914E+17,1977,XP_005251033.1,PLEC#5339#plectin isoform X3 [Homo sapiens],0,1931.671,0,62,257,3757,0,2,1,4689,532.1,5.97,20168,5624.89,60,60,1802,1955,253,242,260,77423.7,72895.2,50085.4,78978.8,74100.9,51355.4,78552.8,73900.5,51145,77480.1,73033.2,50001,73198.33251,65875.08183,46785.05008,77443.26171,68301.77428,48778.52607,78494.2,69256.79796,47286.89663,77480.1,68211.04265,47145.87943,64841.18736,0.814939574,65012.63153,0.813894778,64279.00736,0.855163079,61952.82147,0.955454766,0.952935145,0.963811111,-0.065740522,-0.069550064,-0.053177663
FALSE,High,Master Protein,6.61144E+18,3758,XP_011515432.1,PLEC#5339#plectin isoform X2 [Homo sapiens],0,1929.761,0,63,256,3765,1,1,1,4552,516.4,5.76,20196,5632.65,62,62,1806,1959,252,241,0,279,202.1,106.2,247.2,200.9,93.7,263,189.3,91.1,261.4,211.2,107.6,263.7736865,182.6369094,99.20200934,242.393836,185.1775951,88.99838952,262.8038033,177.4049141,84.2279066,261.4,197.2551142,101.4559034,172.1899402,0.889289956,174.812208,0.924686457,186.7036725,0.945522747,181.8708684,1.05622238,1.040378532,0.974115109,0.078913615,0.057108536,-0.037835832
FALSE,High,Master Protein,1.59882E+17,2174,XP_006716651.1,PLEC#5339#plectin isoform X4 [Homo sapiens],0,1923.726,0,63,256,3752,0,1,1,4579,518.8,5.76,20128,5614.84,62,61,1800,1952,252,240,0,0,0,15.7,0,0,9.5,0,0,6.6,0,0,12.7,0,0,14.66545712,0,0,9.023315906,0,0,6.102131543,0,0,11.97481388,3.007771969,0.762729689,2.034043848,0.631447411,3.991604626,0.894123317,4.888485708,1.625284682,2.403333495,1.224691864,0.70069244,1.265036855,0.292418808
FALSE,High,Master Protein,5.92752E+18,3603,NP_008835.5,PRKDC#5591#DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens],0,1302.061,0,50,176,1880,4,176,1,4128,468.8,7.12,9832,2775.57,49,47,922,958,175,166,0,30043.5,33043.3,36843.4,30927.1,34288,38415.8,30766.4,33893.8,37796.4,30969.7,34161.2,38211,28403.88799,29861.0895,34415.6244,30325.80261,31604.62608,36488.19992,30743.44842,31764.0078,34945.24313,30969.7,31905.64114,36029.10339,32806.20954,0.504100044,32484.23312,0.515665302,32968.14818,0.434713588,30893.53396,0.941697758,0.951031654,0.937072164,-0.086664,-0.072434734,-0.09376794
FALSE,High,Master Protein,5.3531E+18,3475,XP_016873759.1,AHNAK#79026#neuroblast differentiation-associated protein AHNAK isoform X1 [Homo sapiens],0,1204.742,0,57,162,1639,0,162,1,5823,621.4,6.15,5441,2048.99,57,56,758,881,161,157,0,27726.8,25447.1,17883.2,28666.9,26171.9,18711.9,25865.6,23607.6,16757.4,28037.4,25595.3,17845.5,26213.62097,22996.43591,16704.79636,28109.54635,24123.69089,17772.98789,25846.30439,22124.16402,15493.31199,28037.4,23905.32114,16826.4993,23335.40837,0.756524341,21154.59347,0.852493233,22923.07348,0.836071914,21971.61775,0.941557028,1.038621601,0.958493536,-0.086879617,0.054670136,-0.061159393
FALSE,High,Master Protein,-7.11514E+18,462,XP_006717563.1,VIM#7431#vimentin isoform X1 [Homo sapiens],0,880.334,0,92,61,9278,51,59,1,466,53.6,5.12,58171,14038.37,90,92,4635,4643,60,55,2,165975.6,165430,174644.7,175359.9,174122.5,184806,175228.5,172895.6,184847.6,174160.5,171817.9,183009.3,156917.5479,149498.3865,163136.5834,171950.4807,160495.6983,175532.9389,175097.7804,162031.321,170903.6925,174160.5,160473.293,172559.2366,169326.3727,0.10134885,169344.2646,0.080524445,169064.3432,0.099073163,156517.506,0.924353977,0.924256315,0.925786615,-0.113482664,-0.113635099,-0.111248391
FALSE,High,Master Protein,3.37789E+18,2964,NP_001275582.1,CLTC#1213#clathrin heavy chain 1 isoform 2 [Homo sapiens],0,807.882,0,68,85,1597,0,85,1,1679,191.9,5.69,9283,2463.87,68,61,778,819,85,77,0,24318.9,27622.9,25656.4,24565.8,27647.7,25719,23427.3,26779.1,24977.8,23151.8,26272,24449.6,22991.70575,24962.6971,23965.78562,24088.18162,25483.995,24428.49072,23409.82335,25096.37578,23093.60928,23151.8,24537.34072,23053.4968,24666.88911,0.386822395,23866.6028,0.905317776,23580.87918,0.626382922,23973.39616,0.971885674,1.004474594,1.016645562,-0.041141479,0.006441074,0.023816793
FALSE,High,Master Protein,5.61948E+18,3531,NP_002147.2,"HSPD1#3329#60 kDa heat shock protein, mitochondrial [Homo sapiens]",0,759.032,0,80,45,3141,45,45,1,573,61,5.87,20006,4787.05,80,74,1574,1567,45,38,0,41421.1,37822.5,37850.5,44950.5,40761.1,40232.7,47379.7,43175.4,42221.9,48933.8,44728.6,43993.4,39160.56002,34180.03219,35356.36209,44076.5539,37571.14221,38213.93283,47344.35498,40462.37785,39036.90724,48933.8,41775.30825,41481.32101,39953.87631,0.225896574,42281.21336,0.128228425,44063.47642,0.063814205,36232.3181,0.906853638,0.856936574,0.822275523,-0.141058369,-0.222739668,-0.282306211
FALSE,High,Master Protein,-4.61529E+18,1068,NP_006280.3,TLN1#7094#talin-1 [Homo sapiens],0,729.643,0,49,84,855,77,77,1,2541,269.6,6.07,4844,1506.59,49,46,421,434,84,77,7,10635.5,10911.5,11777.8,10431.1,10501.9,11808.4,9745.8,9883,10795.3,9236.2,9531.4,10443.2,10055.07184,9860.676085,11001.70834,10228.29427,9680.022825,11215.88669,9738.529682,9261.979746,9980.960703,9236.2,8902.071002,9846.880023,10374.73459,0.910081898,9660.490044,0.206787343,9328.383675,0.098416332,10305.81875,0.993357339,1.066800826,1.104780754,-0.009615304,0.093290846,0.143760093
FALSE,High,Master Protein,8.13436E+17,2364,NP_006608.1,NES#10763#nestin [Homo sapiens],0,711.084,0,56,76,1849,76,76,1,1621,177.3,4.36,11732,2835.01,56,56,858,991,76,74,0,36302,36455.4,25572.5,34659.8,34936.1,24347.5,32889.7,33078.1,23211.5,34163.5,34490,24184.9,34320.83285,32944.58974,23887.41416,33985.92992,32202.00587,23125.80885,32865.16445,30999.56412,21460.54944,34163.5,32212.73148,22803.91151,29771.24821,0.902362579,28441.75934,0.707381399,29726.71433,0.897615962,30384.27892,1.020591367,1.068298151,1.022120325,0.029405344,0.095314345,0.031565042
