Accession,Description,Abundance: F4: 127N  Sample  Pre-term_RDS,Abundance: F5: 127N  Sample  Pre-term_RDS,Abundance: F4: 127C  Sample  Pre-term_Healthy,Abundance: F5: 127C  Sample  Pre-term_Healthy,Abundance: F4: 128N  Sample  Term_RDS,Abundance: F5: 128N  Sample  Term_RDS,Abundance: F4: 128C  Sample  Term_Healthy,Abundance: F5: 128C  Sample  Term_Healthy,normalized Abundance: F4: 127C  Sample  Pre-term_Healthy,normalized Abundance: F4: 127N  Sample  Pre-term_RDS,normalized Abundance: F4: 128C  Sample  Term_Healthy,normalized Abundance: F4: 128N  Sample  Term_RDS,normalized Abundance: F5: 127C  Sample  Pre-term_Healthy,normalized Abundance: F5: 127N  Sample  Pre-term_RDS,normalized Abundance: F5: 128C  Sample  Term_Healthy,normalized Abundance: F5: 128N  Sample  Term_RDS
NP_000033.2,beta-2-glycoprotein 1 precursor [Homo sapiens],140.8,203.1,117.7,173.5,138.7,215.7,113.5,158.6,117.7,110.8407214918985,96.53592072667217,115.30347054075867,159.33042082738945,158.40754202635168,134.7838283828383,175.65702087286525
NP_000053.2,plasma protease C1 inhibitor precursor [Homo sapiens],6768.3,8391.5,3222.0,3940.0,4632.4,5802.4,3081.7,3669.8,3222.0,5328.148119841027,2621.0990916597852,3850.9862792574654,3618.223965763196,6544.937907011965,3118.7244224422443,4725.230866540163
NP_000055.2,complement C3 preproprotein [Homo sapiens],3670.0,3056.9,1159.9,803.7,1481.0,1113.9,1666.4,1315.7,1159.9,2889.1011922959337,1417.3344343517754,1231.178369652946,738.0625891583453,2384.224594881115,1118.127887788779,907.113377609108
NP_000069.2,cholesteryl ester transfer protein isoform 1 precursor [Homo sapiens],0.0,31.1,0.0,28.5,0.0,21.2,0.0,19.8,0.0,0.0,0.0,0.0,26.172432239657635,24.25639860669393,16.826732673267326,17.264389626818467
NP_000079.2,collagen alpha-1(I) chain preproprotein [Homo sapiens],9268.8,12273.5,7331.3,9265.6,9614.5,12533.8,7469.4,9301.1,7331.3,7296.594313665545,6352.999174236168,7992.683615819209,8508.887303851641,9572.69801605331,7904.400165016502,10207.000316255531
NP_000080.2,collagen alpha-2(I) chain precursor [Homo sapiens],155.1,141.8,170.9,150.3,184.5,167.4,182.5,165.2,170.9,122.09798226841943,155.22295623451691,153.37772397094432,138.02514265335236,110.59669847039227,140.3927392739274,136.3235294117647
NP_000081.2,collagen alpha-1(III) chain preproprotein [Homo sapiens],0.0,47.4,0.0,29.1,0.0,53.9,0.0,27.5,0.0,0.0,0.0,0.0,26.72343081312411,36.96955929123126,23.370462046204622,43.89389626818468
NP_000086.2,cartilage oligomeric matrix protein precursor [Homo sapiens],347.0,318.9,479.6,402.2,370.7,320.5,477.8,409.5,479.6,273.16569856313055,406.3864574731627,308.16868442292173,369.35271041369475,248.72557928214448,348.00742574257424,261.00173940543954
NP_000090.1,cystatin-C precursor [Homo sapiens],2283.2,5210.5,906.3,1742.1,1477.2,3284.5,1217.3,2269.8,906.3,1797.3830632833995,1035.35838150289,1228.0193704600485,1599.8243580599144,4063.9217022565504,1928.9554455445545,2674.7588551549647
NP_000091.1,cystatin-B [Homo sapiens],293.1,133.0,341.6,51.4,249.1,85.3,566.7,55.8,341.6,230.73448486701315,481.99917423616847,207.08071025020178,47.20221112696149,103.7331515977586,47.42079207920792,69.46473750790638
NP_000125.2,"fatty acid-binding protein, intestinal [Homo sapiens]",141.0,123.6,206.1,173.3,350.4,247.2,246.1,171.3,206.1,110.99816569856313,209.31709331131296,291.29297820823246,159.14675463623396,96.40163562017266,145.57673267326734,201.30929791271342
NP_000129.3,fibrillin-1 preproprotein [Homo sapiens],439.7,665.1,439.7,652.8,437.5,665.0,359.0,601.6,439.7,346.1410883521859,305.3426919900908,363.7005649717514,599.4864479315264,518.7437528396184,511.26072607260727,541.5480708412397
