Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Intensity: F1: 126  Sample  DGN,Intensity: F1: 127N  Sample  DGD,Intensity: F1: 127C  Sample  CA4N,Intensity: F1: 128N  Sample  CA4D,Intensity: F1: 128C  Sample  CA3N,Intensity: F1: 129N  Sample  CA3D,Intensity: F1: 129C  Sample  CA2N,Intensity: F1: 130N  Sample  CA2D,Intensity: F1: 130C  Sample  CA1N,Intensity: F1: 131  Sample  CA1D,Found in Sample: [S1] F1: 126  Sample  DGN,Found in Sample: [S2] F1: 127N  Sample  DGD,Found in Sample: [S3] F1: 127C  Sample  CA4N,Found in Sample: [S4] F1: 128N  Sample  CA4D,Found in Sample: [S5] F1: 128C  Sample  CA3N,Found in Sample: [S6] F1: 129N  Sample  CA3D,Found in Sample: [S7] F1: 129C  Sample  CA2N,Found in Sample: [S8] F1: 130N  Sample  CA2D,Found in Sample: [S9] F1: 130C  Sample  CA1N,Found in Sample: [S10] F1: 131  Sample  CA1D,Modifications,normalized Intensity: F1: 126  Sample  DGN,normalized Intensity: F1: 127C  Sample  CA4N,normalized Intensity: F1: 128N  Sample  CA4D,normalized Intensity: F1: 129C  Sample  CA2N,normalized Intensity: F1: 127N  Sample  DGD,normalized Intensity: F1: 128C  Sample  CA3N,normalized Intensity: F1: 129N  Sample  CA3D,normalized Intensity: F1: 130C  Sample  CA1N
False,High,IsMasterProtein,NP_000099.2,"DLD#1738#dihydrolipoyl dehydrogenase, mitochondrial isoform 1 precursor [Homo sapiens]",0.006,2.338,1,1,2,1,1,509,54.1,7.85,0.0,1.68,1.0,1.0,0,48.0,15.8,10.8,23.2,48.3,11.9,48.1,32.8,48.9,56.8,High,High,High,High,High,High,High,High,High,High,0.0,34.275000000000006,23.387500000000003,28.9625,32.8875,21.475,41.037499999999994,20.0875,36.074999999999996
False,High,IsMasterProtein,NP_000174.1,"HADHB#3032#trifunctional enzyme subunit beta, mitochondrial isoform 1 precursor [Homo sapiens]",0.002,4.061,4,2,4,2,1,474,51.3,9.41,15.0,3.97,2.0,2.0,0,82.4,37.4,29.4,50.7,98.1,27.1,99.5,50.8,86.4,117.3,High,High,High,High,High,High,High,High,High,High,0.0,65.5625,64.675,59.025,65.5625,49.775,82.8125,43.6625,62.287499999999994
False,High,IsMasterProtein,NP_000217.2,"KRT9#3857#keratin, type I cytoskeletal 9 [Homo sapiens]",0.0,57.885,21,11,33,10,1,623,62.0,5.24,466.0,56.08,10.0,11.0,0,604.8,289.5,158.9,284.5,369.7,180.6,495.0,369.7,447.6,417.0,High,High,High,High,High,High,High,High,High,High,0.0,471.2125,333.67499999999995,292.3375,342.725,342.725,313.45,233.125,333.67499999999995
False,High,IsMasterProtein,NP_000276.2,PEPD#5184#xaa-Pro dipeptidase isoform 1 [Homo sapiens],0.009,1.908,3,1,1,1,1,493,54.5,6.0,27.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,Not Found,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000282.1,PGK1#5230#phosphoglycerate kinase 1 [Homo sapiens],0.0,9.277,8,4,8,4,1,417,44.6,8.1,35.0,11.16,4.0,4.0,0,143.4,105.6,56.8,115.4,178.8,76.1,232.2,117.5,186.9,270.4,High,High,High,High,High,High,High,High,High,High,0.0,109.01249999999999,123.5375,125.15,161.4625,131.59999999999997,153.825,118.275,146.55
False,High,IsMasterProtein,NP_000311.2,QDPR#5860#dihydropteridine reductase isoform 1 [Homo sapiens],0.009,1.922,3,1,2,1,1,244,25.8,7.37,50.0,2.75,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000413.1,"KRT17#3872#keratin, type I cytoskeletal 17 [Homo sapiens]",0.0,17.116,12,5,9,3,1,432,48.1,5.02,138.0,13.62,4.0,5.0,0,72.3,27.0,12.9,78.0,37.7,19.4,45.1,91.9,51.0,45.9,High,High,High,High,High,High,High,High,High,High,0.0,56.987500000000004,28.599999999999998,92.6875,31.0625,36.074999999999996,31.3125,31.9,37.8625
False,High,IsMasterProtein,NP_000415.2,"KRT5#3852#keratin, type II cytoskeletal 5 [Homo sapiens]",0.0,24.036,14,9,17,4,1,590,62.3,7.74,38.0,20.55,7.0,9.0,0,121.4,49.8,25.9,76.0,72.6,35.9,99.3,90.6,80.7,78.9,High,High,High,High,High,High,High,High,High,High,0.0,97.2625,59.025,90.1875,65.02499999999999,65.5625,59.8125,63.4,56.5
False,High,IsMasterProtein,NP_000445.1,SOD1#6647#superoxide dismutase [Cu-Zn] [Homo sapiens],0.007,3.137,6,1,2,1,1,154,15.9,6.13,70.0,3.27,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,Not Found,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000509.1,HBB#3043#hemoglobin subunit beta [Homo sapiens],0.0,26.224,36,4,14,4,1,147,16.0,7.28,236.0,26.81,4.0,4.0,0,183.4,143.4,74.7,193.8,104.3,142.9,129.6,206.0,156.1,226.3,High,High,High,High,High,High,High,High,High,High,0.0,148.875,153.825,207.9125,90.1875,207.9125,90.1875,207.9125,111.5875
