,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Accession,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,average_normalized  (by Bio. Rep.): Sample- A,P VALUE of  (by Bio. Rep.): Sample- A,average_normalized  (by Bio. Rep.): Sample- B,P VALUE of  (by Bio. Rep.): Sample- B,average_normalized_of_CONTROL
0,False,High,Master Protein,-7.329137622841576e+17,1977,XP_005251033.1,PLEC#5339#plectin isoform X3 [Homo sapiens],0,1931.671,0,62,257,3757,0,2,1,4689,532.1,5.97,20168,5624.89,60,60,1802,1955,253,242,260,77423.7,72895.2,50085.4,78978.8,74100.9,51355.4,78552.8,73900.5,51145.0,77480.1,73033.2,50001.0,73252.9788652024,65924.26099803319,46819.9775497902,77501.07712694022,68352.7651049685,48814.94177753741,78552.8,69308.5017550309,47322.198752895485,64889.594669815364,0.8149395739109524,65061.16683597546,0.8138947784956464,61999.0724710086
1,False,High,Master Protein,6.611444595035923e+18,3758,XP_011515432.1,PLEC#5339#plectin isoform X2 [Homo sapiens],0,1929.761,0,63,256,3765,1,1,1,4552,516.4,5.76,20196,5632.65,62,62,1806,1959,252,241,0,279.0,202.1,106.2,247.2,200.9,93.7,263.0,189.3,91.1,261.4,211.2,107.6,263.9706072351421,182.77325732973512,99.27606879026061,242.5747955879251,185.31583974807558,89.06483144041825,263.0,177.53735606967948,84.29078710311425,172.31848892547296,0.8892899563430013,174.94271439093123,0.9246864565325736,182.00664445171262
2,False,High,Master Protein,1.5988155036304627e+17,2174,XP_006716651.1,PLEC#5339#plectin isoform X4 [Homo sapiens],0,1923.726,0,63,256,3752,0,1,1,4579,518.8,5.76,20128,5614.84,62,61,1800,1952,252,240,0,0.0,0.0,15.7,0.0,0.0,9.5,0.0,0.0,6.6,0.0,0.0,12.7,0.0,0.0,14.67640564978429,0.0,0.0,9.030052280511988,0.0,0.0,6.106687100774468,3.0100174268373294,0.7627296894861391,2.0355623669248226,0.6314474105074126,4.892135216594763
3,False,High,Master Protein,5.927523368410574e+18,3603,NP_008835.5,PRKDC#5591#DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens],0,1302.061,0,50,176,1880,4,176,1,4128,468.8,7.12,9832,2775.57,49,47,922,958,175,166,0,30043.5,33043.3,36843.4,30927.1,34288.0,38415.8,30766.4,33893.8,37796.4,30969.7,34161.2,38211.0,28425.09296942291,29883.382354891823,34441.317446959394,30348.4423973597,31628.22057382785,36515.44025238868,30766.4,31787.721284492884,34971.33156601699,32830.701074525416,0.5041000438019408,32508.48428350329,0.5156653023521176,30916.597590424706
4,False,High,Master Protein,5.353102455870622e+18,3475,XP_016873759.1,AHNAK#79026#neuroblast differentiation-associated protein AHNAK isoform X1 [Homo sapiens],0,1204.742,0,57,162,1639,0,162,1,5823,621.4,6.15,5441,2048.99,57,56,758,881,161,157,0,27726.8,25447.1,17883.2,28666.9,26171.9,18711.9,25865.6,23607.6,16757.4,28037.4,25595.3,17845.5,26233.1907981625,23013.60394159081,16717.267357721175,28130.531584302145,24141.700479356194,17786.256343969715,25865.6,22140.680861862467,15504.878548866376,23352.82946920935,0.756524340658032,21170.38647024295,0.852493232653937,21988.020699158165
5,False,High,Master Protein,-7.115142250704838e+18,462,XP_006717563.1,VIM#7431#vimentin isoform X1 [Homo sapiens],0,880.334,0,92,61,9278,51,59,1,466,53.6,5.12,58171,14038.37,90,92,4635,4643,60,55,2,165975.6,165430.0,174644.7,175359.9,174122.5,184806.0,175228.5,172895.6,184847.6,174160.5,171817.9,183009.3,157034.69504737295,149609.99485432004,163258.37336209443,172078.85071528718,160615.51670748772,175663.9833423472,175228.5,162152.28579017895,171031.2809892604,169452.78358837403,0.10134885043967547,169470.68892647978,0.0805244453676346,156634.35442126248
6,False,High,Master Protein,3.377890585448934e+18,2964,NP_001275582.1,CLTC#1213#clathrin heavy chain 1 isoform 2 [Homo sapiens],0,807.882,0,68,85,1597,0,85,1,1679,191.9,5.69,9283,2463.87,68,61,778,819,85,77,0,24318.9,27622.9,25656.4,24565.8,27647.7,25719.0,23427.3,26779.1,24977.8,23151.8,26272.0,24449.6,23008.870251937984,24981.33305241732,23983.677319307368,24106.164698437908,25503.02012246326,24446.727852893455,23427.3,25115.11152628396,23110.849858443107,24685.304224598207,0.38682239546887665,23884.42046157569,0.9053177757921197,23991.29354122089
7,False,High,Master Protein,5.619484675981056e+18,3531,NP_002147.2,"HSPD1#3329#60 kDa heat shock protein, mitochondrial [Homo sapiens]",0,759.032,0,80,45,3141,45,45,1,573,61.0,5.87,20006,4787.05,80,74,1574,1567,45,38,0,41421.1,37822.5,37850.5,44950.5,40761.1,40232.7,47379.7,43175.4,42221.9,48933.8,44728.6,43993.4,39189.79540984783,34205.54935850523,35382.75745523314,44109.459340918394,37599.191018194535,38242.46151433207,47379.7,40492.58512018404,39066.05031821054,39983.703957815,0.22589657413105912,42312.778479464854,0.12822842451396135,36259.36740786207
8,False,High,Master Protein,-4.615289327887409e+18,1068,NP_006280.3,TLN1#7094#talin-1 [Homo sapiens],0,729.643,0,49,84,855,77,77,1,2541,269.6,6.07,4844,1506.59,49,46,421,434,84,77,7,10635.5,10911.5,11777.8,10431.1,10501.9,11808.4,9745.8,9883.0,10795.3,9236.2,9531.4,10443.2,10062.57847042779,9868.037592050494,11009.92168547958,10235.930219487078,9687.249464660601,11224.259931494502,9745.8,9268.894294963773,9988.412008937972,10382.479871880727,0.9100818981596657,9667.702101300581,0.20678734297636,10313.512582652622
9,False,High,Master Protein,8.134360258967976e+17,2364,NP_006608.1,NES#10763#nestin [Homo sapiens],0,711.084,0,56,76,1849,76,76,1,1621,177.3,4.36,11732,2835.01,56,56,858,991,76,74,0,36302.0,36455.4,25572.5,34659.8,34936.1,24347.5,32889.7,33078.1,23211.5,34163.5,34490.0,24184.9,34346.45513924777,32969.18458811691,23905.247355357245,34011.30218494485,32226.046336599014,23143.073463133223,32889.7,31022.706908655386,21476.570854488877,29793.473994892363,0.902362579059392,28462.99258771475,0.7073813989159845,30406.962360907306
