Accession,Description,Abundance: F4: 127N  Sample  Pre-term_RDS,Abundance: F5: 127N  Sample  Pre-term_RDS,Abundance: F4: 127C  Sample  Pre-term_Healthy,Abundance: F5: 127C  Sample  Pre-term_Healthy,Abundance: F4: 128N  Sample  Term_RDS,Abundance: F5: 128N  Sample  Term_RDS,Abundance: F4: 128C  Sample  Term_Healthy,Abundance: F5: 128C  Sample  Term_Healthy,normalized Abundance: F4: 127C  Sample  Pre-term_Healthy,normalized Abundance: F4: 127N  Sample  Pre-term_RDS,normalized Abundance: F4: 128C  Sample  Term_Healthy,normalized Abundance: F4: 128N  Sample  Term_RDS,normalized Abundance: F5: 127C  Sample  Pre-term_Healthy,normalized Abundance: F5: 127N  Sample  Pre-term_RDS,normalized Abundance: F5: 128C  Sample  Term_Healthy,normalized Abundance: F5: 128N  Sample  Term_RDS
NP_000033.2,beta-2-glycoprotein 1 precursor [Homo sapiens],140.8,203.1,117.7,173.5,138.7,215.7,113.5,158.6,115.17221476510068,121.18441558441559,107.03945666235448,119.02566215420835,173.5,151.0815306122449,143.18191950464396,173.3685777287762
NP_000053.2,plasma protease C1 inhibitor precursor [Homo sapiens],6768.3,8391.5,3222.0,3940.0,4632.4,5802.4,3081.7,3669.8,3152.8026845637587,5825.372727272727,2906.286287192756,3975.3026486168333,3940.0,6242.248469387755,3313.045448916409,4663.671003307608
NP_000055.2,complement C3 preproprotein [Homo sapiens],3670.0,3056.9,1159.9,803.7,1481.0,1113.9,1666.4,1315.7,1134.9893959731546,3158.7131050767416,1571.5467011642952,1270.9228958210713,803.7,2273.9592857142857,1187.7960371517029,895.2955898566705
NP_000058.1,carbonic anhydrase 2 isoform 1 [Homo sapiens],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP_000069.2,cholesteryl ester transfer protein isoform 1 precursor [Homo sapiens],0.0,31.1,0.0,28.5,0.0,21.2,0.0,19.8,0.0,0.0,0.0,0.0,28.5,23.134591836734696,17.87517027863777,17.039470782800443
NP_000079.2,collagen alpha-1(I) chain preproprotein [Homo sapiens],9268.8,12273.5,7331.3,9265.6,9614.5,12533.8,7469.4,9301.1,7173.849261744967,7977.514994096811,7044.233635187581,8250.701000588582,9265.6,9129.98112244898,8396.90637770898,10074.02447629548
NP_000080.2,collagen alpha-2(I) chain precursor [Homo sapiens],155.1,141.8,170.9,150.3,184.5,167.4,182.5,165.2,167.2296644295302,133.49220779220778,172.1119016817594,158.32901706886403,150.3,105.48183673469389,149.1403095975232,134.54751929437708
NP_000081.2,collagen alpha-1(III) chain preproprotein [Homo sapiens],0.0,47.4,0.0,29.1,0.0,53.9,0.0,27.5,0.0,0.0,0.0,0.0,29.1,35.259795918367345,24.826625386996906,43.32205071664829
NP_000086.2,cartilage oligomeric matrix protein precursor [Homo sapiens],347.0,318.9,479.6,402.2,370.7,320.5,477.8,409.5,469.2998657718121,298.65761511216056,450.603104786546,318.1168922895821,402.2,237.22255102040816,369.69102167182666,257.6014332965822
NP_000090.1,cystatin-C precursor [Homo sapiens],2283.2,5210.5,906.3,1742.1,1477.2,3284.5,1217.3,2269.8,886.8358389261745,1965.1154663518298,1148.0099611901683,1267.6619187757506,1742.1,3875.9739795918367,2049.1445201238394,2639.9123484013235
