Stimuli,Dosage ,Time point,Cell line,Experiment Type,lncRNA name as in article,NCBI_Gene_symbol,Ensembl_id,Foldchange,Expression,PubMed_ID,Reference
Bovine viral diarrhea virus (Av69 VEDEVAC strain of BVDV),10^3 TCID50/mL , 48 hrs,Madin-Darby bovine kidney (MDBK) cells,Microarray,LOC101902030,LOC101902030,,0.535886731,Downregulation,33258421,Figure 10(b)
Bovine viral diarrhea virus (Av69 VEDEVAC strain of BVDV),10^3 TCID50/mL , 48 hrs,Madin-Darby bovine kidney (MDBK) cells,qPCR,LOC101905498,LOC101905498,,3.482202253,Upregulation,33258421,Figure 10(b)
Bovine viral diarrhea virus (Av69 VEDEVAC strain of BVDV),10^3 TCID50/mL , 48 hrs,Madin-Darby bovine kidney (MDBK) cells,qPCR,LOC104969159,LOC104969159,,4,Upregulation,33258421,Figure 10(b)
Bovine viral diarrhea virus (Av69 VEDEVAC strain of BVDV),10^3 TCID50/mL , 48 hrs,Madin-Darby bovine kidney (MDBK) cells,Microarray,LOC112444864,LOC112444864,,0.558643569,Downregulation,33258421,Figure 10(b)
Canine influenza virus (H3N2 strain of CIV),MOI = 0.1 , 48 hrs,Madin-Darby canine kidney (MDCK) cells,RNA-Seq,ENSCAFT00000055852,,ENSCAFG00000034748,2.364925855,Upregulation,30972307,Supplementary Data Sheet 1
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC004019.13,,ENSG00000236754,2.1127758,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC005324.6,,ENSG00000233002,4.8075414,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC007092.1,LINC01122,ENSG00000233723,0.414824569,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC007131.2,,ENSG00000233891,2.9542537,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC007271.3,IL1R1-AS1,ENSG00000226925,2.864575,Upregulation,31388922,"Figure 1B, Supplementary Table S3"
Coxsackie virus B3 (CG strain of CVB3),MOI = 0.5 , 23 hrs,HeLa Human papillomavirus-related endocervical adenocarcinoma cells,Microarray,AC008088.4,,ENSG00000260907,0.445565725,Downregulation,31388922,"Figure 1B, Supplementary Table S3"
