level_0,index,Accession,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3
0,0,XP_005251033.1,False,High,Master Protein,-732913762284157568,1977,PLEC#5339#plectin isoform X3 [Homo sapiens],0,1931.671,0,62,257,3757,0,2,1,4689,532.1,5.97,20168,5624.89,60,60,1802,1955,253,242,260,77423.7,72895.2,50085.4,78978.8,74100.9,51355.4,78552.8,73900.5,51145.0,77480.1,73033.2,50001.0,74647.88547681327,69753.97454766599,49586.71292886103,77814.75855969811,71994.74023713014,51355.4,76270.89339312271,71153.13304445903,50911.59886461755,74796.17673139874,69964.56850811216,49515.23999242805
1,1,XP_011515432.1,False,High,Master Protein,6611444595035923456,3758,PLEC#5339#plectin isoform X2 [Homo sapiens],0,1929.761,0,63,256,3765,1,1,1,4552,516.4,5.76,20196,5632.65,62,62,1806,1959,252,241,0,279.0,202.1,106.2,247.2,200.9,93.7,263.0,189.3,91.1,261.4,211.2,107.6,268.9972198181036,193.39103611874714,105.14259470913763,243.55660399952103,195.18984673113886,93.7,255.36002487996956,182.26247569794648,90.68426349724623,252.34506147498035,202.32602253376945,106.55466537039774
2,2,NP_008835.5,False,High,Master Protein,5927523368410573824,3603,PRKDC#5591#DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens],0,1302.061,0,50,176,1880,4,176,1,4128,468.8,7.12,9832,2775.57,49,47,922,958,175,166,0,30043.5,33043.3,36843.4,38415.8,30766.4,38415.8,30766.4,33893.8,37796.4,30969.7,34161.2,38211.0,28966.372665251594,31619.38656003265,36476.56001795331,37849.60270196117,29891.93081368298,38415.8,29872.656537897703,32633.744843164597,37623.91544289042,29896.904553793804,32725.85095161271,37839.779911415135
3,3,XP_016873759.1,False,High,Master Protein,5353102455870621696,3475,AHNAK#79026#neuroblast differentiation-associated protein AHNAK isoform X1 [Homo sapiens],0,1204.742,0,57,162,1639,0,162,1,5823,621.4,6.15,5441,2048.99,57,56,758,881,161,157,0,27726.8,25447.1,17883.2,18711.9,25865.6,18711.9,25865.6,23607.6,16757.4,28037.4,25595.3,17845.5,26732.73159302005,24350.524667082485,17705.141710945856,18436.111724832677,25130.425582921576,18711.9,25114.22151914578,22729.950455820606,16680.92730108402,27066.179902825614,24519.863847341803,17672.130863080234
4,4,XP_006717563.1,False,High,Master Protein,-7115142250704837632,462,VIM#7431#vimentin isoform X1 [Homo sapiens],0,880.334,0,92,61,9278,51,59,1,466,53.6,5.12,58171,14038.37,90,92,4635,4643,60,55,2,165975.6,165430.0,174644.7,184806.0,175228.5,184806.0,175228.5,172895.6,184847.6,174160.5,171817.9,183009.3,160024.9998481779,158301.232583495,172905.8089472592,182082.20776187495,170248.00427041991,184806.0,170138.22859193818,166467.93498828248,184004.0446238592,168127.5519472583,164598.63781773174,181231.36357965364
5,5,NP_001275582.1,False,High,Master Protein,3377890585448933888,2964,CLTC#1213#clathrin heavy chain 1 isoform 2 [Homo sapiens],0,807.882,0,68,85,1597,0,85,1,1679,191.9,5.69,9283,2463.87,68,61,778,819,85,77,0,24318.9,27622.9,25656.4,25719.0,23427.3,25719.0,23427.3,26779.1,24977.8,23151.8,26272.0,24449.6,23447.012505499926,26432.56433253113,25400.946015965335,25339.936481649198,22761.429050893024,25719.0,22746.75251281563,25783.544970749488,24863.813356547937,22349.81788162376,25168.130984882533,24212.071992937515
6,6,NP_002147.2,False,High,Master Protein,5619484675981056000,3531,"HSPD1#3329#60 kDa heat shock protein, mitochondrial [Homo sapiens]",0,759.032,0,80,45,3141,45,45,1,573,61.0,5.87,20006,4787.05,80,74,1574,1567,45,38,0,41421.1,37822.5,37850.5,40232.7,47379.7,40232.7,47379.7,43175.4,42221.9,48933.8,44728.6,43993.4,39936.06000647903,36192.63960218364,37473.632589813686,39639.724036130785,46033.033256183866,40232.7,46003.35121979275,41570.28681061341,42029.21959335215,47238.72520736188,42849.24115295435,43566.00386158045
7,7,NP_006280.3,False,High,Master Protein,-4615289327887409152,1068,TLN1#7094#talin-1 [Homo sapiens],0,729.643,0,49,84,855,77,77,1,2541,269.6,6.07,4844,1506.59,49,46,421,434,84,77,7,10635.5,10911.5,11777.8,11808.4,9745.8,11808.4,9745.8,9883.0,10795.3,9236.2,9531.4,10443.2,10254.193302420934,10441.297825876842,11660.531562761591,11634.360043155115,9468.796457303797,11808.4,9462.690990400026,9515.583979518251,10746.035452599584,8916.256529438462,9130.919749897585,10341.744250893475
8,8,NP_006608.1,False,High,Master Protein,813436025896797568,2364,NES#10763#nestin [Homo sapiens],0,711.084,0,56,76,1849,76,76,1,1621,177.3,4.36,11732,2835.01,56,56,858,991,76,74,0,36302.0,36455.4,25572.5,24347.5,32889.7,24347.5,32889.7,33078.1,23211.5,34163.5,34490.0,24184.9,35000.49130407454,34884.45115350508,25317.881386058587,23988.650549669655,31954.88054770103,24347.5,31934.27608477085,31848.36976959452,23105.57389864249,32980.0708022207,33040.83578214824,23949.943554986363
9,9,XP_006717309.1,False,High,Master Protein,-7679085377781864448,347,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X2 [Homo sapiens]",0,697.561,0,50,90,876,0,2,1,2505,288.4,5.41,4593,1397.09,47,48,422,454,83,82,90,13405.7,12823.2,11888.1,11202.1,12632.5,11202.1,12632.5,12168.6,11120.4,12569.8,11969.2,11121.3,12925.075375324555,12270.618180890246,11769.733334855922,11036.996090869881,12273.448177357448,11202.1,12265.534274890553,11716.213215943115,11069.651852851559,12134.380083122449,11466.29085658709,11013.256505425692
