,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Accession,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,average_normalized  (by Bio. Rep.): Sample- A,P VALUE of  (by Bio. Rep.): Sample- A,average_normalized  (by Bio. Rep.): Sample- ,P VALUE of  (by Bio. Rep.): Sample- ,average_normalized  (by Bio. Rep.): Sample- B,P VALUE of  (by Bio. Rep.): Sample- B,average_normalized_of_CONTROL
0,False,High,Master Protein,-7.329137622841576e+17,1977,XP_005251033.1,PLEC#5339#plectin isoform X3 [Homo sapiens],0,1931.671,0,62,257,3757,0,2,1,4689,532.1,5.97,20168,5624.89,60,60,1802,1955,253,242,260,77423.7,72895.2,50085.4,78978.8,74100.9,51355.4,78552.8,73900.5,51145.0,77480.1,73033.2,50001.0,73252.9788652024,65924.26099803319,77501.07712694022,68352.7651049685,48814.94177753741,78552.8,69308.5017550309,47322.198752895485,72926.92111595435,0.6287881423439998,63683.87088876871,0.7601390582453601,58315.35025396319,0.4841867828534303,69588.6199316178
1,False,High,Master Protein,6.611444595035923e+18,3758,XP_011515432.1,PLEC#5339#plectin isoform X2 [Homo sapiens],0,1929.761,0,63,256,3765,1,1,1,4552,516.4,5.76,20196,5632.65,62,62,1806,1959,252,241,0,279.0,202.1,106.2,247.2,200.9,93.7,263.0,189.3,91.1,261.4,211.2,107.6,263.9706072351421,182.77325732973512,242.5747955879251,185.31583974807558,89.06483144041825,263.0,177.53735606967948,84.29078710311425,213.94531766800034,0.8687374261575924,176.03241572020912,0.6874426716365314,130.91407158639686,0.27565064427355773,223.3719322824386
2,False,High,Master Protein,1.5988155036304627e+17,2174,XP_006716651.1,PLEC#5339#plectin isoform X4 [Homo sapiens],0,1923.726,0,63,256,3752,0,1,1,4579,518.8,5.76,20128,5614.84,62,61,1800,1952,252,240,0,0.0,0.0,15.7,0.0,0.0,9.5,0.0,0.0,6.6,0.0,0.0,12.7,0.0,0.0,0.0,0.0,9.030052280511988,0.0,0.0,6.106687100774468,0.0,,4.515026140255994,0.49999999999999956,3.053343550387234,0.49999999999999956,0.0
3,False,High,Master Protein,5.927523368410574e+18,3603,NP_008835.5,PRKDC#5591#DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens],0,1302.061,0,50,176,1880,4,176,1,4128,468.8,7.12,9832,2775.57,49,47,922,958,175,166,0,30043.5,33043.3,36843.4,30927.1,34288.0,38415.8,30766.4,33893.8,37796.4,30969.7,34161.2,38211.0,28425.09296942291,29883.382354891823,30348.4423973597,31628.22057382785,36515.44025238868,30766.4,31787.721284492884,34971.33156601699,30988.331485593775,0.20137447055242305,33640.92012619434,0.35127315913036433,33379.52642525494,0.18849657348267987,29154.237662157364
4,False,High,Master Protein,5.353102455870622e+18,3475,XP_016873759.1,AHNAK#79026#neuroblast differentiation-associated protein AHNAK isoform X1 [Homo sapiens],0,1204.742,0,57,162,1639,0,162,1,5823,621.4,6.15,5441,2048.99,57,56,758,881,161,157,0,27726.8,25447.1,17883.2,28666.9,26171.9,18711.9,25865.6,23607.6,16757.4,28037.4,25595.3,17845.5,26233.1907981625,23013.60394159081,28130.531584302145,24141.700479356194,17786.256343969715,25865.6,22140.680861862467,15504.878548866376,26136.11603182917,0.6171748404038102,21825.92817198486,0.6141172991356958,18822.77970536442,0.3001337342082684,24623.397369876657
5,False,High,Master Protein,-7.115142250704838e+18,462,XP_006717563.1,VIM#7431#vimentin isoform X1 [Homo sapiens],0,880.334,0,92,61,9278,51,59,1,466,53.6,5.12,58171,14038.37,90,92,4635,4643,60,55,2,165975.6,165430.0,174644.7,175359.9,174122.5,184806.0,175228.5,172895.6,184847.6,174160.5,171817.9,183009.3,157034.69504737295,149609.99485432004,172078.85071528718,160615.51670748772,175663.9833423472,175228.5,162152.28579017895,171031.2809892604,166347.18371138745,0.21748936218065648,175446.2416711736,0.1048498277835972,166591.78338971967,0.1528132156119253,153322.3449508465
6,False,High,Master Protein,3.377890585448934e+18,2964,NP_001275582.1,CLTC#1213#clathrin heavy chain 1 isoform 2 [Homo sapiens],0,807.882,0,68,85,1597,0,85,1,1679,191.9,5.69,9283,2463.87,68,61,778,819,85,77,0,24318.9,27622.9,25656.4,24565.8,27647.7,25719.0,23427.3,26779.1,24977.8,23151.8,26272.0,24449.6,23008.870251937984,24981.33305241732,24106.164698437908,25503.02012246326,24446.727852893455,23427.3,25115.11152628396,23110.849858443107,24804.592410450583,0.5784701455157716,23937.01392644673,0.9643747343132988,24112.980692363533,0.9408230335351815,23995.101652177655
7,False,High,Master Protein,5.619484675981056e+18,3531,NP_002147.2,"HSPD1#3329#60 kDa heat shock protein, mitochondrial [Homo sapiens]",0,759.032,0,80,45,3141,45,45,1,573,61.0,5.87,20006,4787.05,80,74,1574,1567,45,38,0,41421.1,37822.5,37850.5,44950.5,40761.1,40232.7,47379.7,43175.4,42221.9,48933.8,44728.6,43993.4,39189.79540984783,34205.54935850523,44109.459340918394,37599.191018194535,38242.46151433207,47379.7,40492.58512018404,39066.05031821054,40854.325179556465,0.4234671983318936,42811.08075716603,0.38975184676803865,39779.31771919729,0.42312592931545123,36697.672384176534
8,False,High,Master Protein,-4.615289327887409e+18,1068,NP_006280.3,TLN1#7094#talin-1 [Homo sapiens],0,729.643,0,49,84,855,77,77,1,2541,269.6,6.07,4844,1506.59,49,46,421,434,84,77,7,10635.5,10911.5,11777.8,10431.1,10501.9,11808.4,9745.8,9883.0,10795.3,9236.2,9531.4,10443.2,10062.57847042779,9868.037592050494,10235.930219487078,9687.249464660601,11224.259931494502,9745.8,9268.894294963773,9988.412008937972,9961.58984207384,0.9915396217698358,10485.02996574725,0.6092738098515318,9628.653151950872,0.5163261183563983,9965.308031239143
9,False,High,Master Protein,8.134360258967976e+17,2364,NP_006608.1,NES#10763#nestin [Homo sapiens],0,711.084,0,56,76,1849,76,76,1,1621,177.3,4.36,11732,2835.01,56,56,858,991,76,74,0,36302.0,36455.4,25572.5,34659.8,34936.1,24347.5,32889.7,33078.1,23211.5,34163.5,34490.0,24184.9,34346.45513924777,32969.18458811691,34011.30218494485,32226.046336599014,23143.073463133223,32889.7,31022.706908655386,21476.570854488877,33118.674260771935,0.6823158111935954,28016.38673156661,0.4509701816499555,26249.63888157213,0.3602482355713452,33657.819863682336
10,False,High,Master Protein,-7.679085377781864e+18,347,XP_006717309.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X2 [Homo sapiens]",0,697.561,0,50,90,876,0,2,1,2505,288.4,5.41,4593,1397.09,47,48,422,454,83,82,90,13405.7,12823.2,11888.1,12844.1,12274.9,11202.1,12632.5,12168.6,11120.4,12569.8,11969.2,11121.3,12683.551144846397,11596.922480903808,12603.782087422609,11322.714790062979,10647.952489634037,12632.5,11412.472641677241,10289.212611432182,11963.248438742794,0.8530843252942527,11640.226244817019,0.7123283369366209,10850.842626554711,0.24085002335665287,12140.236812875102
11,False,High,Master Protein,2.9622811662013174e+18,2863,NP_002464.1,MYH9#4627#myosin-9 [Homo sapiens],0,694.687,0,44,79,1406,66,66,1,1960,226.4,5.6,10014,2405.05,44,38,701,705,78,62,13,18645.4,17893.2,15199.7,18995.2,18502.7,15546.7,17064.8,16339.7,13878.9,16600.8,15822.8,13383.8,17640.994839219064,16182.080396103003,18639.792706924574,17067.41357942617,14777.633030466919,17064.8,15324.390580938942,12841.53024286951,17853.603143175373,0.4728153791967922,15921.21651523346,0.5526962671644138,14082.960411904227,0.21766389415055828,16911.537617661033
12,False,High,Master Protein,-4.5675477958789873e+18,1081,NP_001104026.1,FLNA#2316#filamin-A isoform 2 [Homo sapiens],0,693.035,0,47,84,810,0,78,1,2647,280.6,6.06,3837,1225.28,45,46,371,439,81,82,7,12269.9,11744.8,10437.3,13417.6,12981.1,11456.3,13562.4,12663.4,11240.9,12774.0,12330.4,10863.1,11608.93531797301,10621.649444266566,13166.55168802809,11974.133635409376,10889.577678024156,13562.4,11876.526966998304,10400.705913802381,12570.342661718732,0.20528524646883226,12225.988839012078,0.5547340923135009,11138.616440400343,0.9817282379688078,11115.292381119787
13,False,High,Master Protein,-1.0629778157815592e+18,1894,XP_006717310.1,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X4 [Homo sapiens]",0,686.499,0,51,89,871,0,1,1,2490,286.7,5.4,4572,1386.17,47,48,419,452,81,81,0,0.0,41.5,0.0,0.0,34.5,0.0,0.0,39.6,0.0,0.0,39.8,0.0,0.0,37.53137149522023,0.0,31.82377536738978,0.0,0.0,37.13935182440205,0.0,15.91188768369489,0.9185064911320149,0.0,0.49999999999999956,18.569675912201024,0.9947502322887902,18.765685747610114
14,False,High,Master Protein,-8.201100139023697e+18,243,NP_005091.2,AKAP12#9590#A-kinase anchor protein 12 isoform 1 [Homo sapiens],0,663.494,0,58,73,993,0,73,1,1782,191.4,4.41,4550,1615.71,56,54,452,541,71,64,0,12800.6,13270.7,10591.0,12559.4,13067.1,10626.9,12149.0,12740.3,9978.5,13529.6,14234.2,11062.0,12111.047150445018,12001.628233773954,12324.408930853506,12053.462466759971,10101.20658734451,12149.0,11948.648587081549,9232.663217436066,12188.935698806737,0.49929182707300224,11125.103293672255,0.5299085499522569,10590.655902258808,0.4755340317915886,12056.337692109486
15,False,High,Master Protein,6.488855965708198e+18,3729,XP_005254502.1,PKM#5315#pyruvate kinase PKM isoform X4 [Homo sapiens],0,659.459,0,77,41,2847,0,5,1,531,57.9,7.84,18334,4862.45,77,69,1318,1529,41,39,50,56097.1,52408.9,52268.8,53003.5,49522.3,48863.0,47841.2,44532.0,43969.5,48862.2,45827.8,45655.4,53075.21702914154,47397.05772423729,52011.78470042309,45680.76959062281,46445.836271858665,47841.2,41764.88927889575,40683.027042045906,48846.27714552295,0.7751333512938863,47143.518135929335,0.466739688110696,41223.95816047083,0.18384360508840175,50236.13737668941
16,False,High,Master Protein,-2.3057832933418447e+18,1619,NP_001367.2,DYNC1H1#1778#cytoplasmic dynein 1 heavy chain 1 [Homo sapiens],0,654.727,0,30,102,700,102,102,1,4646,532.1,6.4,3364,1082.75,29,29,360,340,99,97,0,8774.4,9408.9,10434.5,9093.6,9671.7,11018.6,8628.0,9218.7,10465.2,7903.5,8461.7,9519.9,8301.73367786391,8509.13063280428,8923.455344491731,8921.449513645906,10473.529900847305,8628.0,8645.87228948523,9682.985128337117,8922.452429068819,0.1259862225148592,9550.764950423652,0.429853620554888,9164.428708911175,0.3745469766747046,8405.432155334094
17,False,High,Master Protein,3.453697574232543e+18,2984,NP_004915.2,ACTN4#81#alpha-actinin-4 isoform 1 [Homo sapiens],0,640.574,0,77,63,1668,0,45,1,911,104.8,5.44,9286,2520.79,77,72,821,847,63,58,20,27908.4,29233.9,25519.7,27745.6,28750.7,24989.9,31759.5,33438.7,28342.9,32756.3,34752.4,29715.2,26405.008225667527,26438.273762749846,27226.469451716563,26520.458505948212,23753.695103659637,31759.5,31360.900097238195,26224.42754977889,26873.463978832388,0.42186410609711905,27756.59755182982,0.7950735467030565,28792.66382350854,0.5254015781291983,26421.640994208687
18,False,High,Master Protein,4.9154144504048115e+17,2267,NP_733821.1,LMNA#4000#lamin isoform A [Homo sapiens],0,637.934,0,76,61,2767,0,4,1,664,74.1,7.02,13070,3834.81,75,74,1304,1463,59,54,69,53423.5,58666.5,47583.9,57552.8,62694.4,51319.2,62949.9,69295.0,56365.6,63557.8,69745.2,56655.1,50545.64062948607,53056.24592347801,56475.96559673437,57831.08702589223,48780.53252568956,62949.9,64989.17638060454,52152.58824960809,57153.5263113133,0.09493236042575506,55865.216262844784,0.6681134999507938,58570.88231510631,0.4791245299323039,51800.94327648204
19,False,High,Master Protein,6.828955185066436e+17,2325,NP_005338.1,HSPA5#3309#endoplasmic reticulum chaperone BiP precursor [Homo sapiens],0,616.093,0,73,52,2721,48,49,1,654,72.3,5.16,13276,3993.22,72,73,1274,1447,51,46,3,40084.7,38870.6,39767.4,40403.3,39258.7,40241.5,46518.1,45712.7,46483.6,41136.6,40907.6,41797.7,37925.385662503584,35153.41997209897,39647.33915282207,36213.334783065075,38250.82619433928,46518.1,42872.223437963214,43009.21219963032,37930.33696794357,0.5953736563606118,42384.46309716964,0.3765627558365006,42940.717818796766,0.13499885207867054,36539.40281730128
20,False,High,Master Protein,-1.0998925370528634e+18,1885,NP_001269554.1,LMNA#4000#lamin isoform C [Homo sapiens],0,606.616,0,76,58,2714,0,1,1,572,65.1,6.84,12635,3798.54,76,74,1284,1430,56,51,0,444.2,513.0,179.0,454.8,536.5,186.5,454.3,533.4,180.3,411.2,534.2,162.3,420.2714829170255,463.94201390477053,446.2905219797263,494.88276766969904,177.27418424373536,454.3,500.25581472565784,166.82358852570255,470.58664482471266,0.47611560867322755,315.78709212186766,0.5273764370981961,333.5397016256802,0.6320793675639861,442.10674841089804
