level_0,index,Accession,Checked,Protein FDR Confidence: Combined,Master,Unique Sequence ID,Protein Group IDs,Description,Exp. q-value: Combined,Sum PEP Score,# Decoy Protein: Combined,Coverage [%],# Peptides,# PSMs,# Protein Unique Peptides,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,Coverage [%] (by Search Engine): Mascot,Coverage [%] (by Search Engine): Sequest HT,# PSMs (by Search Engine): Mascot,# PSMs (by Search Engine): Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundances (by Bio. Rep.): Cntrol 1,Abundances (by Bio. Rep.): Cntrol 2,Abundances (by Bio. Rep.): Cntrol 3,Abundances (by Bio. Rep.): Sample- A1,Abundances (by Bio. Rep.): Sample- A2,Abundances (by Bio. Rep.): Sample- A3,Abundances (by Bio. Rep.): Sample- B1,Abundances (by Bio. Rep.): Sample- B2,Abundances (by Bio. Rep.): Sample- B3,Abundances (by Bio. Rep.): Sample- C1,Abundances (by Bio. Rep.): Sample- C2,Abundances (by Bio. Rep.): Sample- C3,normalized Abundances (by Bio. Rep.): Cntrol 1,normalized Abundances (by Bio. Rep.): Cntrol 2,normalized Abundances (by Bio. Rep.): Cntrol 3,normalized Abundances (by Bio. Rep.): Sample- B1,normalized Abundances (by Bio. Rep.): Sample- B2,normalized Abundances (by Bio. Rep.): Sample- B3,normalized Abundances (by Bio. Rep.): Sample- A1,normalized Abundances (by Bio. Rep.): Sample- A2,normalized Abundances (by Bio. Rep.): Sample- A3,normalized Abundances (by Bio. Rep.): Sample- C1,normalized Abundances (by Bio. Rep.): Sample- C2,normalized Abundances (by Bio. Rep.): Sample- C3
0,0,XP_005251033.1,False,High,Master Protein,-732913762284157568,1977,PLEC#5339#plectin isoform X3 [Homo sapiens],0,1931.671,0,62,257,3757,0,2,1,4689,532.1,5.97,20168,5624.89,60,60,1802,1955,253,242,260,77423.7,72895.2,50085.4,78978.8,74100.9,51355.4,78552.8,73900.5,51145.0,77480.1,73033.2,50001.0,73151.3326738473,64488.48342250779,46217.697684736544,76947.3569480938,68749.20274374094,47284.3565763616,77222.04369502555,67878.58868219749,48370.02656322621,77480.1,67756.53201079939,46981.26416215895
1,1,XP_011515432.1,False,High,Master Protein,6611444595035923456,3758,PLEC#5339#plectin isoform X2 [Homo sapiens],0,1929.761,0,63,256,3765,1,1,1,4552,516.4,5.76,20196,5632.65,62,62,1806,1959,252,241,0,279.0,202.1,106.2,247.2,200.9,93.7,263.0,189.3,91.1,261.4,211.2,107.6,263.60432033089864,178.79260225212118,97.99900757743816,257.62486986267413,176.1046823687277,84.22338222908479,241.70143382034564,184.03026773296244,88.25306567516357,261.4,195.940744218805,101.10165844379718
2,2,NP_008835.5,False,High,Master Protein,5927523368410573824,3603,PRKDC#5591#DNA-dependent protein kinase catalytic subunit isoform 1 [Homo sapiens],0,1302.061,0,50,176,1880,4,176,1,4128,468.8,7.12,9832,2775.57,49,47,922,958,175,166,0,30043.5,33043.3,36843.4,38415.8,30766.4,38415.8,30766.4,33893.8,37796.4,30969.7,34161.2,38211.0,28385.650171546065,29232.546234525067,33998.27340657802,30137.603787615888,31531.203820756382,34943.36601628299,37561.30235176228,28182.92100139082,36182.62668478067,30969.7,31693.044277497356,35903.303631932475
3,3,XP_016873759.1,False,High,Master Protein,5353102455870621696,3475,AHNAK#79026#neuroblast differentiation-associated protein AHNAK isoform X1 [Homo sapiens],0,1204.742,0,57,162,1639,0,162,1,5823,621.4,6.15,5441,2048.99,57,56,758,881,161,157,0,27726.8,25447.1,17883.2,18711.9,25865.6,18711.9,25865.6,23607.6,16757.4,28037.4,25595.3,17845.5,26196.789494447166,22512.38608990575,16502.220831533352,25336.96514798473,21962.01214732158,15492.479751544079,18295.68389766556,23693.645062586926,17624.146634013803,28037.4,23746.032814884376,16767.747637163407
4,4,XP_006717563.1,False,High,Master Protein,-7115142250704837632,462,VIM#7431#vimentin isoform X1 [Homo sapiens],0,880.334,0,92,61,9278,51,59,1,466,53.6,5.12,58171,14038.37,90,92,4635,4643,60,55,2,165975.6,165430.0,174644.7,184806.0,175228.5,184806.0,175228.5,172895.6,184847.6,174160.5,171817.9,183009.3,156816.79293732293,146351.6090577358,161158.2606276781,171647.22246666005,160843.76503407606,170894.51228242563,180695.2879393317,160514.4239394993,174062.92481498697,174160.5,159404.0113452283,171956.7262141116
5,5,NP_001275582.1,False,High,Master Protein,3377890585448933888,2964,CLTC#1213#clathrin heavy chain 1 isoform 2 [Homo sapiens],0,807.882,0,68,85,1597,0,85,1,1679,191.9,5.69,9283,2463.87,68,61,778,819,85,77,0,24318.9,27622.9,25656.4,25719.0,23427.3,25719.0,23427.3,26779.1,24977.8,23151.8,26272.0,24449.6,22976.9430311652,24437.25963755625,23675.157608378384,22948.498531307323,24912.440040255653,23092.36878860191,25146.922234730864,21460.091046592486,24223.912445032358,23151.8,24373.841061157415,22973.002865125123
6,6,NP_002147.2,False,High,Master Protein,5619484675981056000,3531,"HSPD1#3329#60 kDa heat shock protein, mitochondrial [Homo sapiens]",0,759.032,0,80,45,3141,45,45,1,573,61.0,5.87,20006,4787.05,80,74,1574,1567,45,38,0,41421.1,37822.5,37850.5,40232.7,47379.7,40232.7,47379.7,43175.4,42221.9,48933.8,44728.6,43993.4,39135.41545827306,33460.57990440798,34927.60297843524,46411.36519632145,40165.821992301986,39034.81034180236,39337.788335209625,43401.189029902635,37893.90731471882,48933.8,41496.946836483155,41336.48420614635
7,7,NP_006280.3,False,High,Master Protein,-4615289327887409152,1068,TLN1#7094#talin-1 [Homo sapiens],0,729.643,0,49,84,855,77,77,1,2541,269.6,6.07,4844,1506.59,49,46,421,434,84,77,7,10635.5,10911.5,11777.8,11808.4,9745.8,11808.4,9745.8,9883.0,10795.3,9236.2,9531.4,10443.2,10048.615587380904,9653.11964113815,10868.292951464698,9546.617706112736,9194.097072636745,9980.424568360471,11545.74114532431,8927.437447844228,11121.958385470667,9236.2,8842.753832609462,9812.498507995007
8,8,NP_006608.1,False,High,Master Protein,813436025896797568,2364,NES#10763#nestin [Homo sapiens],0,711.084,0,56,76,1849,76,76,1,1621,177.3,4.36,11732,2835.01,56,56,858,991,76,74,0,36302.0,36455.4,25572.5,24347.5,32889.7,24347.5,32889.7,33078.1,23211.5,34163.5,34490.0,24184.9,34298.79583029492,32251.142167946455,23597.73654683651,32217.508297803775,30772.362883576392,21459.396669708032,23805.929045068227,30127.92581710709,22932.139984269426,34163.5,31998.08839065618,22724.28902692742
9,9,XP_006717309.1,False,High,Master Protein,-7679085377781864448,347,"SPTAN1#6709#spectrin alpha chain, non-erythrocytic 1 isoform X2 [Homo sapiens]",0,697.561,0,50,90,876,0,2,1,2505,288.4,5.41,4593,1397.09,47,48,422,454,83,82,90,13405.7,12823.2,11888.1,11202.1,12632.5,11202.1,12632.5,12168.6,11120.4,12569.8,11969.2,11121.3,12665.951387311568,11344.350802570018,10970.075348223565,12374.320032472362,11320.377379144742,10280.984629421673,10952.927313102322,11571.738960361612,10550.903596582177,12569.8,11104.42213874868,10449.645669618973
