Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Mascot,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Intensity: F1: 126  Sample  DGN,Intensity: F1: 127N  Sample  DGD,Intensity: F1: 127C  Sample  CA4N,Intensity: F1: 128N  Sample  CA4D,Intensity: F1: 128C  Sample  CA3N,Intensity: F1: 129N  Sample  CA3D,Intensity: F1: 129C  Sample  CA2N,Intensity: F1: 130N  Sample  CA2D,Intensity: F1: 130C  Sample  CA1N,Intensity: F1: 131  Sample  CA1D,Found in Sample: [S1] F1: 126  Sample  DGN,Found in Sample: [S2] F1: 127N  Sample  DGD,Found in Sample: [S3] F1: 127C  Sample  CA4N,Found in Sample: [S4] F1: 128N  Sample  CA4D,Found in Sample: [S5] F1: 128C  Sample  CA3N,Found in Sample: [S6] F1: 129N  Sample  CA3D,Found in Sample: [S7] F1: 129C  Sample  CA2N,Found in Sample: [S8] F1: 130N  Sample  CA2D,Found in Sample: [S9] F1: 130C  Sample  CA1N,Found in Sample: [S10] F1: 131  Sample  CA1D,Modifications,normalized Intensity: F1: 129N  Sample  CA3D,normalized Intensity: F1: 130C  Sample  CA1N,normalized Intensity: F1: 126  Sample  DGN,normalized Intensity: F1: 127C  Sample  CA4N,normalized Intensity: F1: 127N  Sample  DGD,normalized Intensity: F1: 128C  Sample  CA3N,normalized Intensity: F1: 128N  Sample  CA4D,normalized Intensity: F1: 129C  Sample  CA2N
False,High,IsMasterProtein,NP_000099.2,"DLD#1738#dihydrolipoyl dehydrogenase, mitochondrial isoform 1 precursor [Homo sapiens]",0.006,2.338,1,1,2,1,1,509,54.1,7.85,0.0,1.68,1.0,1.0,0,48.0,15.8,10.8,23.2,48.3,11.9,48.1,32.8,48.9,56.8,High,High,High,High,High,High,High,High,High,High,0.0,8.722159090909091,15.86943396226415,15.48,10.8,9.414318706697461,18.325588235294116,12.927861771058316,14.808830548926014
False,High,IsMasterProtein,NP_000174.1,"HADHB#3032#trifunctional enzyme subunit beta, mitochondrial isoform 1 precursor [Homo sapiens]",0.002,4.061,4,2,4,2,1,474,51.3,9.41,15.0,3.97,2.0,2.0,0,82.4,37.4,29.4,50.7,98.1,27.1,99.5,50.8,86.4,117.3,High,High,High,High,High,High,High,High,High,High,0.0,19.863068181818182,28.039245283018868,26.574,29.4,22.284526558891457,37.22029411764706,28.251835853131755,30.63365155131265
False,High,IsMasterProtein,NP_000217.2,"KRT9#3857#keratin, type I cytoskeletal 9 [Homo sapiens]",0.0,57.885,21,11,33,10,1,623,62.0,5.24,466.0,56.08,10.0,11.0,0,604.8,289.5,158.9,284.5,369.7,180.6,495.0,369.7,447.6,417.0,High,High,High,High,High,High,High,High,High,High,0.0,132.37159090909088,145.2588679245283,195.048,158.9,172.49653579676675,140.2685294117647,158.53347732181427,152.3985680190931
False,High,IsMasterProtein,NP_000276.2,PEPD#5184#xaa-Pro dipeptidase isoform 1 [Homo sapiens],0.009,1.908,3,1,1,1,1,493,54.5,6.0,27.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,Not Found,High,High,High,High,High,High,High,High,Acetyl [N-Term],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000282.1,PGK1#5230#phosphoglycerate kinase 1 [Homo sapiens],0.0,9.277,8,4,8,4,1,417,44.6,8.1,35.0,11.16,4.0,4.0,0,143.4,105.6,56.8,115.4,178.8,76.1,232.2,117.5,186.9,270.4,High,High,High,High,High,High,High,High,High,High,0.0,55.777840909090905,60.65433962264151,46.246500000000005,56.8,62.92101616628175,67.83882352941177,64.3049676025918,71.48878281622912
False,High,IsMasterProtein,NP_000311.2,QDPR#5860#dihydropteridine reductase isoform 1 [Homo sapiens],0.009,1.922,3,1,2,1,1,244,25.8,7.37,50.0,2.75,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,High,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000413.1,"KRT17#3872#keratin, type I cytoskeletal 17 [Homo sapiens]",0.0,17.116,12,5,9,3,1,432,48.1,5.02,138.0,13.62,4.0,5.0,0,72.3,27.0,12.9,78.0,37.7,19.4,45.1,91.9,51.0,45.9,High,High,High,High,High,High,High,High,High,High,0.0,14.21931818181818,16.550943396226415,23.31675,12.9,16.087759815242496,14.303823529411765,43.46436285097192,13.885202863961815
False,High,IsMasterProtein,NP_000415.2,"KRT5#3852#keratin, type II cytoskeletal 5 [Homo sapiens]",0.0,24.036,14,9,17,4,1,590,62.3,7.74,38.0,20.55,7.0,9.0,0,121.4,49.8,25.9,76.0,72.6,35.9,99.3,90.6,80.7,78.9,High,High,High,High,High,High,High,High,High,High,0.0,26.313068181818178,26.18943396226415,39.151500000000006,25.9,29.6729792147806,27.545294117647057,42.349892008639316,30.572076372315035
False,High,IsMasterProtein,NP_000445.1,SOD1#6647#superoxide dismutase [Cu-Zn] [Homo sapiens],0.007,3.137,6,1,2,1,1,154,15.9,6.13,70.0,3.27,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,Not Found,High,High,High,High,High,High,High,High,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
False,High,IsMasterProtein,NP_000509.1,HBB#3043#hemoglobin subunit beta [Homo sapiens],0.0,26.224,36,4,14,4,1,147,16.0,7.28,236.0,26.81,4.0,4.0,0,183.4,143.4,74.7,193.8,104.3,142.9,129.6,206.0,156.1,226.3,High,High,High,High,High,High,High,High,High,High,0.0,104.73920454545454,50.658867924528295,59.1465,74.7,85.44387990762125,39.57264705882353,107.99222462203025,39.90071599045346
